DanTh 1:1
ἐνίσχυσέν VAI-AAI3S- ἰσχύω ἐν
με RP--AS---- ἐγώ

DanTh 10:19
καὶ C--------- καί
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
ἀνὴρ N3--NSM--- ἀνήρ
ἐπιθυμιῶν N1A-GPF--- ἐπιθυμία
εἰρήνη N1--NSF--- εἰρήνη
σοι RP--DS---- σύ
ἀνδρίζου V1--PMD2S- ἀνδρίζομαι
καὶ C--------- καί
ἴσχυε V1--PAD2S- ἰσχύω
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
λαλῆσαι VA--AAN--- λαλέω
αὐτὸν RD--ASM--- αὐτός
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἴσχυσα VAI-AAI1S- ἰσχύω
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
λαλείτω V2--PAD3S- λαλέω
ὁ RA--NSM--- ὁ
κύριός N2--NSM--- κύριος
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἐνίσχυσάς VA--AAI2S- ἰσχύω ἐν
με RP--AS---- ἐγώ

DanTh 10:20
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εἰ C--------- εἰ
οἶδας VX--XAI2S- οἶδα
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ἦλθον VBI-AAI1S- ἔρχομαι
πρὸς P--------- πρός
σέ RP--AS---- σύ
καὶ C--------- καί
νῦν D--------- νῦν
ἐπιστρέψω VF--FAI1S- στρέφω ἐπι
τοῦ RA--GSN--- ὁ
πολεμῆσαι VA--AAN--- πολεμέω
μετὰ P--------- μετά
ἄρχοντος N3--GSM--- ἄρχων
Περσῶν N1M-GPM--- Πέρσης
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἐξεπορευόμην V1I-IMI1S- πορεύομαι ἐκ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἄρχων N3--NSM--- ἄρχων
τῶν RA--GPM--- ὁ
Ἑλλήνων N3--GPM--- Ἕλλην
ἤρχετο V1I-IMI3S- ἔρχομαι

DanTh 10:21
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ἀναγγελῶ VF2-FAI1S- ἀγγέλλω ἀνα
σοι RP--DS---- σύ
τὸ RA--ASN--- ὁ
ἐντεταγμένον VK--XMPASN τάσσω ἐν
ἐν P--------- ἐν
γραφῇ N1--DSF--- γραφή
ἀληθείας N1A-GSF--- ἀλήθεια
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
εἷς A3--NSM--- εἷς
ἀντεχόμενος V1--PMPNSM ἔχω ἀντι
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
περὶ P--------- περί
τούτων RD--GPM--- οὗτος
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
Μιχαηλ N---NSM--- Μιχαηλ
ὁ RA--NSM--- ὁ
ἄρχων N3--NSM--- ἄρχων
ὑμῶν RP--GP---- σύ

DanTh 11:1
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἐν P--------- ἐν
ἔτει N3E-DSN--- ἔτος
πρώτῳ A1--DSNS-- πρῶτος
Κύρου N2--GSM--- Κῦρος
ἔστην VHI-AAI1S- ἵστημι
εἰς P--------- εἰς
κράτος N3E-ASN--- κράτος
καὶ C--------- καί
ἰσχύν N3--ASF--- ἰσχύς

DanTh 11:2
καὶ C--------- καί
νῦν D--------- νῦν
ἀλήθειαν N1A-ASF--- ἀλήθεια
ἀναγγελῶ VF2-FAI1S- ἀγγέλλω ἀνα
σοι RP--DS---- σύ
ἰδοὺ I--------- ἰδού
ἔτι D--------- ἔτι
τρεῖς A3--NPM--- τρεῖς
βασιλεῖς N3V-NPM--- βασιλεύς
ἀναστήσονται VF--FMI3P- ἵστημι ἀνα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Περσίδι N3D-DSF--- Περσίς
καὶ C--------- καί
ὁ RA--NSM--- ὁ
τέταρτος A1--NSM--- τέταρτος
πλουτήσει VF--FAI3S- πλουτέω
πλοῦτον N2--ASM--- πλοῦτος
μέγαν A1P-ASM--- μέγας
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
καὶ C--------- καί
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
κρατῆσαι VA--AAN--- κρατέω
αὐτὸν RD--ASM--- αὐτός
τοῦ RA--GSM--- ὁ
πλούτου N2--GSM--- πλοῦτος
αὐτοῦ RD--GSM--- αὐτός
ἐπαναστήσεται VF--FMI3S- ἵστημι ἐπι ἀνα
πάσαις A1S-DPF--- πᾶς
βασιλείαις N1A-DPF--- βασιλεία
Ἑλλήνων N3--GPM--- Ἕλλην

DanTh 11:3
καὶ C--------- καί
ἀναστήσεται VF--FMI3S- ἵστημι ἀνα
βασιλεὺς N3V-NSM--- βασιλεύς
δυνατὸς A1--NSM--- δυνατός
καὶ C--------- καί
κυριεύσει VF--FAI3S- κυριεύω
κυριείας N1A-GSF--- κυριεία
πολλῆς A1--GSF--- πολύς
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
θέλημα N3M-ASN--- θέλημα
αὐτοῦ RD--GSM--- αὐτός

DanTh 11:4
καὶ C--------- καί
ὡς C--------- ὡς
ἂν X--------- ἄν
στῇ VH--AAS3S- ἵστημι
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
συντριβήσεται VD--FPI3S- τρίβω συν
καὶ C--------- καί
διαιρεθήσεται VC--FPI3S- αἱρέω δια
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
τέσσαρας A3--APM--- τέσσαρες
ἀνέμους N2--APM--- ἄνεμος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
οὐκ D--------- οὐ
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἔσχατα A1--APN--- ἔσχατος
αὐτοῦ RD--GSM--- αὐτός
οὐδὲ C--------- οὐδέ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
κυριείαν N1A-ASF--- κυριεία
αὐτοῦ RD--GSM--- αὐτός
ἣν RR--ASF--- ὅς
ἐκυρίευσεν VAI-AAI3S- κυριεύω
ὅτι C--------- ὅτι
ἐκτιλήσεται VF--FMI3S- τίλλω ἐκ
ἡ RA--NSF--- ὁ
βασιλεία N1A-NSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἑτέροις A1A-DPM--- ἕτερος
ἐκτὸς P--------- ἐκτός
τούτων RD--GPM--- οὗτος

DanTh 11:5
καὶ C--------- καί
ἐνισχύσει VF--FAI3S- ἰσχύω ἐν
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
νότου N2--GSM--- νότος
καὶ C--------- καί
εἷς A3--NSM--- εἷς
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
αὐτοῦ RD--GSM--- αὐτός
ἐνισχύσει VF--FAI3S- ἰσχύω ἐν
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
κυριεύσει VF--FAI3S- κυριεύω
κυριείαν N1A-ASF--- κυριεία
πολλὴν A1--ASF--- πολύς
ἐπ' P--------- ἐπί
ἐξουσίας N1A-GSF--- ἐξουσία
αὐτοῦ RD--GSM--- αὐτός

DanTh 11:6
καὶ C--------- καί
μετὰ P--------- μετά
τὰ RA--APN--- ὁ
ἔτη N3E-APN--- ἔτος
αὐτοῦ RD--GSM--- αὐτός
συμμειγήσονται VF--FPI3P- μίγνυμι συν
καὶ C--------- καί
θυγάτηρ N3--NSF--- θυγάτηρ
βασιλέως N3V-GSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
νότου N2--GSM--- νότος
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
πρὸς P--------- πρός
βασιλέα N3V-ASM--- βασιλεύς
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
συνθήκας N1--APF--- συνθήκη
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
κρατήσει VF--FAI3S- κρατέω
ἰσχύος N3U-GSF--- ἰσχύς
βραχίονος N3N-GSM--- βραχίων
καὶ C--------- καί
οὐ D--------- οὐ
στήσεται VF--FMI3S- ἵστημι
τὸ RA--NSN--- ὁ
σπέρμα N3M-NSN--- σπέρμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
παραδοθήσεται VC--FPI3S- δίδωμι παρα
αὐτὴ RD--NSF--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
φέροντες V1--PAPNPM φέρω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
νεᾶνις N3D-NSF--- νεᾶνις
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κατισχύων V1--PAPNSM ἰσχύω κατα
αὐτὴν RD--ASF--- αὐτός
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
καιροῖς N2--DPM--- καιρός

DanTh 11:7
καὶ C--------- καί
στήσεται VF--FMI3S- ἵστημι
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
ἄνθους N3E-GSN--- ἄνθος
τῆς RA--GSF--- ὁ
ῥίζης N1S-GSF--- ῥίζα
αὐτῆς RD--GSF--- αὐτός
τῆς RA--GSF--- ὁ
ἑτοιμασίας N1A-GSF--- ἑτοιμασία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἥξει VF--FAI3S- ἥκω
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
δύναμιν N3I-ASF--- δύναμις
καὶ C--------- καί
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὑποστηρίγματα N3M-APN--- ὑποστήριγμα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
κατισχύσει VF--FAI3S- ἰσχύω κατα

DanTh 11:8
καί C--------- καί
γε X--------- γέ
τοὺς RA--APM--- ὁ
θεοὺς N2--APM--- θεός
αὐτῶν RD--GPM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
χωνευτῶν A1--GPM--- χωνευτός
αὐτῶν RD--GPM--- αὐτός
πᾶν A3--ASN--- πᾶς
σκεῦος N3E-ASN--- σκεῦος
ἐπιθυμητὸν A1--ASN--- ἐπιθυμητός
αὐτῶν RD--GPM--- αὐτός
ἀργυρίου N2N-GSN--- ἀργύριον
καὶ C--------- καί
χρυσίου N2N-GSN--- χρυσίον
μετὰ P--------- μετά
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
οἴσει VF--FAI3S- φέρω
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
στήσεται VF--FMI3S- ἵστημι
ὑπὲρ P--------- ὑπέρ
βασιλέα N3V-ASM--- βασιλεύς
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας

DanTh 11:9
καὶ C--------- καί
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
νότου N2--GSM--- νότος
καὶ C--------- καί
ἀναστρέψει VF--FAI3S- στρέφω ἀνα
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτοῦ RD--GSM--- αὐτός

DanTh 11:10
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
συνάξουσιν VF--FAI3P- ἄγω συν
ὄχλον N2--ASM--- ὄχλος
δυνάμεων N3I-GPF--- δύναμις
πολλῶν A1--GPF--- πολύς
καὶ C--------- καί
ἐλεύσεται VF--FMI3S- ἔρχομαι
ἐρχόμενος V1--PMPNSM ἔρχομαι
καὶ C--------- καί
κατακλύζων V1--PAPNSM κλύζω κατα
καὶ C--------- καί
παρελεύσεται VF--FMI3S- ἔρχομαι παρα
καὶ C--------- καί
καθίεται V7--PMI3S- ἵημι κατα
καὶ C--------- καί
συμπροσπλακήσεται VF--FMI3S- πλακέω συν προς
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἰσχύος N3U-GSF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός

DanTh 11:11
καὶ C--------- καί
ἀγριανθήσεται VC--FPI3S- ἀγριάνω
βασιλεὺς N3V-NSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
νότου N2--GSM--- νότος
καὶ C--------- καί
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
καὶ C--------- καί
πολεμήσει VF--FAI3S- πολεμέω
μετὰ P--------- μετά
βασιλέως N3V-GSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
στήσει VF--FAI3S- ἵστημι
ὄχλον N2--ASM--- ὄχλος
πολύν A1P-ASM--- πολύς
καὶ C--------- καί
παραδοθήσεται VC--FPI3S- δίδωμι παρα
ὁ RA--NSM--- ὁ
ὄχλος N2--NSM--- ὄχλος
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός

DanTh 11:12
καὶ C--------- καί
λήμψεται VF--FMI3S- λαμβάνω
τὸν RA--ASM--- ὁ
ὄχλον N2--ASM--- ὄχλος
καὶ C--------- καί
ὑψωθήσεται VC--FPI3S- ὑψόω
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
καταβαλεῖ VF2-FAI3S- βάλλω κατα
μυριάδας N3D-APF--- μυριάς
καὶ C--------- καί
οὐ D--------- οὐ
κατισχύσει VF--FAI3S- ἰσχύω κατα

DanTh 11:13
καὶ C--------- καί
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
βασιλεὺς N3V-NSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ἄξει VF--FAI3S- ἄγω
ὄχλον N2--ASM--- ὄχλος
πολὺν A1P-ASM--- πολύς
ὑπὲρ P--------- ὑπέρ
τὸν RA--ASM--- ὁ
πρότερον A1A-ASM--- πρότερος
καὶ C--------- καί
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
τέλος N3E-ASN--- τέλος
τῶν RA--GPM--- ὁ
καιρῶν N2--GPM--- καιρός
ἐνιαυτῶν N2--GPM--- ἐνιαυτός
ἐπελεύσεται VF--FMI3S- ἔρχομαι ἐπι
εἰσόδια N2N-NPN--- εἰσόδιον
ἐν P--------- ἐν
δυνάμει N3I-DSF--- δύναμις
μεγάλῃ A1--DSF--- μέγας
καὶ C--------- καί
ἐν P--------- ἐν
ὑπάρξει N3I-DSF--- ὕπαρξις
πολλῇ A1--DSF--- πολύς

DanTh 11:14
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
καιροῖς N2--DPM--- καιρός
ἐκείνοις RD--DPM--- ἐκεῖνος
πολλοὶ A1--NPM--- πολύς
ἐπαναστήσονται VF--FMI3P- ἵστημι ἐπι ἀνα
ἐπὶ P--------- ἐπί
βασιλέα N3V-ASM--- βασιλεύς
τοῦ RA--GSM--- ὁ
νότου N2--GSM--- νότος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τῶν RA--GPM--- ὁ
λοιμῶν A1--GPM--- λοιμός
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
ἐπαρθήσονται VC--FPI3P- αἴρω ἐπι
τοῦ RA--GSN--- ὁ
στῆσαι VA--AAN--- ἵστημι
ὅρασιν N3I-ASF--- ὅρασις
καὶ C--------- καί
ἀσθενήσουσιν VF--FAI3P- ἀσθενέω

DanTh 11:15
καὶ C--------- καί
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
βασιλεὺς N3V-NSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ἐκχεεῖ VF2-FAI3S- χέω ἐκ
πρόσχωμα N3M-ASN--- πρόσχωμα
καὶ C--------- καί
συλλήμψεται VF--FMI3S- λαμβάνω συν
πόλεις N3I-APF--- πόλις
ὀχυράς A1A-APF--- ὀχυρός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βραχίονες N3N-NPM--- βραχίων
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
νότου N2--GSM--- νότος
οὐ D--------- οὐ
στήσονται VF--FMI3P- ἵστημι
καὶ C--------- καί
ἀναστήσονται VF--FMI3P- ἵστημι ἀνα
οἱ RA--NPM--- ὁ
ἐκλεκτοὶ A1--NPM--- ἐκλεκτός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἰσχὺς N3--NSF--- ἰσχύς
τοῦ RA--GSN--- ὁ
στῆναι VH--AAN--- ἵστημι

DanTh 11:16
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
ὁ RA--NSM--- ὁ
εἰσπορευόμενος V1--PMPNSM πορεύομαι εἰς
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
θέλημα N3M-ASN--- θέλημα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἑστὼς VXI-XAPNSM ἵστημι
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
στήσεται VF--FMI3S- ἵστημι
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
τοῦ RA--GS---- ὁ
σαβι N---GS---- σαβι
καὶ C--------- καί
συντελεσθήσεται VS--FPI3S- τελέω συν
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός

DanTh 11:17
καὶ C--------- καί
τάξει VF--FAI3S- τάσσω
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εὐθεῖα A3U-NSF--- εὐθύς
πάντα A3--NPN--- πᾶς
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ποιήσει VF--FAI3S- ποιέω
καὶ C--------- καί
θυγατέρα N3--ASF--- θυγάτηρ
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή
δώσει VF--FAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
τοῦ RA--GSN--- ὁ
διαφθεῖραι VA--AAN--- φθείρω δια
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
παραμείνῃ VA--AAS3S- μένω παρα
καὶ C--------- καί
οὐκ D--------- οὐ
αὐτῷ RD--DSM--- αὐτός
ἔσται VF--FMI3S- εἰμί

DanTh 11:18
καὶ C--------- καί
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
νήσους N2--APF--- νήσος
καὶ C--------- καί
συλλήμψεται VF--FMI3S- λαμβάνω συν
πολλὰς A1--APF--- πολύς
καὶ C--------- καί
καταπαύσει VF--FAI3S- παύω κατα
ἄρχοντας N3--APM--- ἄρχων
ὀνειδισμοῦ N2--GSM--- ὀνειδισμός
αὐτῶν RD--GPM--- αὐτός
πλὴν D--------- πλήν
ὀνειδισμὸς N2--NSM--- ὀνειδισμός
αὐτοῦ RD--GSM--- αὐτός
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
αὐτῷ RD--DSM--- αὐτός

DanTh 11:19
καὶ C--------- καί
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀσθενήσει VF--FAI3S- ἀσθενέω
καὶ C--------- καί
πεσεῖται VF2-FMI3S- πίπτω
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρεθήσεται VC--FPI3S- εὑρίσκω

DanTh 11:20
καὶ C--------- καί
ἀναστήσεται VF--FMI3S- ἵστημι ἀνα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ῥίζης N1S-GSF--- ῥίζα
αὐτοῦ RD--GSM--- αὐτός
φυτὸν N2N-NSN--- φυτόν
βασιλείας N1A-GSF--- βασιλεία
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ἑτοιμασίαν N1A-ASF--- ἑτοιμασία
αὐτοῦ RD--GSM--- αὐτός
παραβιβάζων V1--PAPNSM βιβάζω παρα
πράσσων V1--PAPNSM πράσσω
δόξαν N1S-ASF--- δόξα
βασιλείας N1A-GSF--- βασιλεία
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
συντριβήσεται VD--FPI3S- τρίβω συν
καὶ C--------- καί
οὐκ D--------- οὐ
ἐν P--------- ἐν
προσώποις N2N-DPN--- πρόσωπον
οὐδὲ C--------- οὐδέ
ἐν P--------- ἐν
πολέμῳ N2--DSM--- πόλεμος

DanTh 11:21
στήσεται VF--FMI3S- ἵστημι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ἑτοιμασίαν N1A-ASF--- ἑτοιμασία
αὐτοῦ RD--GSM--- αὐτός
