Jos 1:1
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Γαλααδ N---GS---- Γαλαάδ
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Χανααν N---GS---- Χανααν
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
αὐτοῖς RD--DPM--- αὐτός
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος

Jos 22:33
καὶ C--------- καί
ἤρεσεν VAI-AAI3S- ἀρέσκω
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἐλάλησαν VAI-AAI3P- λαλέω
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εὐλόγησαν VA--AAI3P- εὐλογέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
μηκέτι D--------- μηκέτι
ἀναβῆναι VZ--AAN--- βαίνω ἀνα
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
ἐξολεθρεῦσαι VA--AAN--- ὀλεθρεύω ἐκ
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ρουβην N---GS---- Ρουβην
καὶ C--------- καί
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Γαδ N---GS---- Γαδ
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
ἡμίσους A3U-GSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
καὶ C--------- καί
κατῴκησαν VAI-AAI3P- οἰκέω κατα
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός

Jos 22:34
καὶ C--------- καί
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
Ἰησοῦς N---NSM--- Ἰησοῦς
τὸν RA--ASM--- ὁ
βωμὸν N2--ASM--- βωμός
τῶν RA--GPM--- ὁ
Ρουβην N---GPM--- Ρουβην
καὶ C--------- καί
τῶν RA--GPM--- ὁ
Γαδ N---GPM--- Γαδ
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
ἡμίσους A3U-GSN--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὅτι C--------- ὅτι
μαρτύριόν N2N-NSN--- μαρτύριον
ἐστιν V9--PAI3S- εἰμί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
αὐτῶν RD--GPM--- αὐτός
ἐστιν V9--PAI3S- εἰμί

Jos 23:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μεθ' P--------- μετά
ἡμέρας N1A-APF--- ἡμέρα
πλείους A3C-APF--- πολύς
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
καταπαῦσαι VA--AAN--- παύω κατα
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
ἀπὸ P--------- ἀπό
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ἐχθρῶν N2--GPM--- ἐχθρός
αὐτῶν RD--GPM--- αὐτός
κυκλόθεν D--------- κυκλόθεν
καὶ C--------- καί
Ἰησοῦς N---NSM--- Ἰησοῦς
πρεσβύτερος A1A-NSMC-- πρεσβύτερος
προβεβηκὼς VX--XAPNSM βαίνω προ
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα

Jos 23:2
καὶ C--------- καί
συνεκάλεσεν VAI-AAI3S- καλέω συν
Ἰησοῦς N---NSM--- Ἰησοῦς
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γερουσίαν N1A-ASF--- γερουσία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
γραμματεῖς N3V-APM--- γραμματεύς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δικαστὰς N1M-APM--- δικαστής
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἐγὼ RP--NS---- ἐγώ
γεγήρακα VX--XAI1S- γηράσκω
καὶ C--------- καί
προβέβηκα VX--XAI1S- βαίνω προ
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα

Jos 23:3
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
ἑωράκατε VX--XAI2P- ὁράω
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
τούτοις RD--DPN--- οὗτος
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
ὅτι C--------- ὅτι
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
ὁ RA--NSM--- ὁ
ἐκπολεμήσας VA--AAPNSM πολεμέω ἐκ
ὑμῖν RP--DP---- σύ

Jos 23:4
ἴδετε VB--AAD2P- ὁράω
ὅτι C--------- ὅτι
ἐπέρριφα VAI-AAI1S- ῥίπτω ἐπι
ὑμῖν RP--DP---- σύ
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
τὰ RA--APN--- ὁ
καταλελειμμένα VP--XMPAPN λείπω κατα
ὑμῖν RP--DP---- σύ
ταῦτα RD--APN--- οὗτος
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
κλήροις N2--DPM--- κλῆρος
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
φυλὰς N1--APF--- φυλή
ὑμῶν RP--GP---- σύ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
ἃ RR--APN--- ὅς
ἐξωλέθρευσα VAI-AAI1S- ὀλεθρεύω ἐκ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
τῆς RA--GSF--- ὁ
μεγάλης A1--GSF--- μέγας
ὁριεῖ VF2-FAI3S- ὁρίζω
ἐπὶ P--------- ἐπί
δυσμὰς N1--APF--- δυσμή
ἡλίου N2--GSM--- ἥλιος

Jos 23:5
κύριος N2--NSM--- κύριος
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
οὗτος RD--NSM--- οὗτος
ἐξολεθρεύσει VF--FAI3S- ὀλεθρεύω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
ἕως C--------- ἕως
ἂν X--------- ἄν
ἀπόλωνται VB--AMS3P- ὀλλύω ἀπο
καὶ C--------- καί
ἀποστελεῖ VF2-FAI3S- στέλλω ἀπο
αὐτοῖς RD--DPM--- αὐτός
τὰ RA--APN--- ὁ
θηρία N2N-APN--- θηρίον
τὰ RA--APN--- ὁ
ἄγρια A1A-APN--- ἄγριος
ἕως C--------- ἕως
ἂν X--------- ἄν
ἐξολεθρεύσῃ VA--AAS3S- ὀλεθρεύω ἐκ
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
βασιλεῖς N3V-APM--- βασιλεύς
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
κατακληρονομήσατε VA--AAD2P- κληρονομέω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτῶν RD--GPM--- αὐτός
καθὰ D--------- καθά
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
ὑμῖν RP--DP---- σύ

Jos 23:6
κατισχύσατε VA--AAD2P- ἰσχύω κατα
οὖν X--------- οὖν
σφόδρα D--------- σφόδρα
φυλάσσειν V1--PAN--- φυλάσσω
καὶ C--------- καί
ποιεῖν V2--PAN--- ποιέω
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
γεγραμμένα VP--XMPAPN γράφω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
βιβλίῳ N2N-DSN--- βιβλίον
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος
Μωυσῆ N1M-GSM--- Μωυσῆς
ἵνα C--------- ἵνα
μὴ D--------- μή
ἐκκλίνητε V1--PAS2P- κλίνω ἐκ
εἰς P--------- εἰς
δεξιὰν A1A-ASF--- δεξιός
ἢ C--------- ἤ
εὐώνυμα A1B-APN--- εὐώνυμος

Jos 23:7
ὅπως C--------- ὅπως
μὴ D--------- μή
εἰσέλθητε VB--AAS2P- ἔρχομαι εἰς
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
τὰ RA--APN--- ὁ
καταλελειμμένα VP--XMPAPN λείπω κατα
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὀνόματα N3M-NPN--- ὄνομα
τῶν RA--GPM--- ὁ
θεῶν N2--GPM--- θεός
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
ὀνομασθήσεται VS--FPI3S- ὀνομάζω
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
προσκυνήσητε VA--AAS2P- κυνέω προς
αὐτοῖς RD--DPM--- αὐτός
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
λατρεύσητε VA--AAS2P- λατρεύω
αὐτοῖς RD--DPM--- αὐτός

Jos 23:8
ἀλλὰ C--------- ἀλλά
κυρίῳ N2--DSM--- κύριος
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
ὑμῶν RP--GP---- σύ
προσκολληθήσεσθε VC--FPI2P- κολλάω προς
καθάπερ D--------- καθάπερ
ἐποιήσατε VAI-AAI2P- ποιέω
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος

Jos 23:9
καὶ C--------- καί
ἐξωλέθρευσεν VAI-AAI3S- ὀλεθρεύω ἐκ
αὐτοὺς RD--APM--- αὐτός
κύριος N2--NSM--- κύριος
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
ἔθνη N3E-APN--- ἔθνος
μεγάλα A1--APN--- μέγας
καὶ C--------- καί
ἰσχυρά A1A-APN--- ἰσχυρός
καὶ C--------- καί
ὑμῖν RP--DP---- σύ
οὐθεὶς A3--NSM--- οὐδείς
ἀντέστη VHI-AAI3S- ἵστημι ἀντι
κατενώπιον P--------- κατενώπιον
ὑμῶν RP--GP---- σύ
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος

Jos 23:10
εἷς A3--NSM--- εἷς
ὑμῶν RP--GP---- σύ
ἐδίωξεν VAI-AAI3S- διώκω
χιλίους A1A-APM--- χίλιοι
ὅτι C--------- ὅτι
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
ἐξεπολέμει V2I-IAI3S- πολεμέω ἐκ
ὑμῖν RP--DP---- σύ
καθάπερ D--------- καθάπερ
εἶπεν VBI-AAI3S- εἶπον
ὑμῖν RP--DP---- σύ

Jos 23:11
καὶ C--------- καί
φυλάξασθε VA--AMD2P- φυλάσσω
σφόδρα D--------- σφόδρα
τοῦ RA--GSN--- ὁ
ἀγαπᾶν V3--PAN--- ἀγαπάω
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ὑμῶν RP--GP---- σύ

Jos 23:12
ἐὰν C--------- ἐάν
γὰρ X--------- γάρ
ἀποστραφῆτε VD--APS2P- στρέφω ἀπο
καὶ C--------- καί
προσθῆσθε VE--AMS2P- τίθημι προς
τοῖς RA--DPN--- ὁ
ὑπολειφθεῖσιν VV--APPDPN λείπω ὑπο
ἔθνεσιν N3E-DPN--- ἔθνος
τούτοις RD--DPN--- οὗτος
τοῖς RA--DPN--- ὁ
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐπιγαμίας N1A-APF--- ἐπιγαμία
ποιήσητε VA--AAS2P- ποιέω
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
συγκαταμιγῆτε VA--AAS2P- μίγνυμι συν κατα
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
ὑμῖν RP--DP---- σύ

Jos 23:13
γινώσκετε V1--PAI2P- γιγνώσκω
ὅτι C--------- ὅτι
οὐ D--------- οὐ
μὴ D--------- μή
προσθῇ VE--AAS3S- τίθημι προς
κύριος N2--NSM--- κύριος
τοῦ RA--GSN--- ὁ
ἐξολεθρεῦσαι VA--AAN--- ὀλεθρεύω ἐκ
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
ταῦτα RD--APN--- οὗτος
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
ὑμῖν RP--DP---- σύ
εἰς P--------- εἰς
παγίδας N3D-APF--- παγίς
καὶ C--------- καί
εἰς P--------- εἰς
σκάνδαλα N2N-APN--- σκάνδαλον
καὶ C--------- καί
εἰς P--------- εἰς
ἥλους N2--APM--- ἧλος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πτέρναις N1--DPF--- πτέρνα
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
εἰς P--------- εἰς
βολίδας N3D-APF--- βολίς
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
ὑμῶν RP--GP---- σύ
ἕως C--------- ἕως
ἂν X--------- ἄν
ἀπόλησθε VA--APS2P- ὀλλύω ἀπο
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τῆς RA--GSF--- ὁ
ἀγαθῆς A1--GSF--- ἀγαθός
ταύτης RD--GSF--- οὗτος
ἣν RR--ASF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
ὑμῖν RP--DP---- σύ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ

Jos 23:14
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἀποτρέχω V1--PAI1S- τρέχω ἀπο
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
καθὰ D--------- καθά
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
γνώσεσθε VF--FMI2P- γιγνώσκω
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ψυχῇ N1--DSF--- ψυχή
ὑμῶν RP--GP---- σύ
διότι C--------- διότι
οὐ D--------- οὐ
διέπεσεν VAI-AAI3S- πίπτω δια
εἷς A3--NSM--- εἷς
λόγος N2--NSM--- λόγος
ἀπὸ P--------- ἀπό
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
ὧν RR--GPM--- ὅς
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
πρὸς P--------- πρός
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἀνήκοντα V1--PAPAPN ἥκω ἀνα
ὑμῖν RP--DP---- σύ
οὐ D--------- οὐ
διεφώνησεν VAI-AAI3S- φωνέω δια
ἐξ P--------- ἐκ
αὐτῶν RD--GPM--- αὐτός

Jos 23:15
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
ἥκει V1--PAI3S- ἥκω
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
τὰ RA--APN--- ὁ
καλά A1--APN--- καλός
ἃ RR--APN--- ὅς
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
οὕτως D--------- οὕτως
ἐπάξει VF--FAI3S- ἄγω ἐπι
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
τὰ RA--APN--- ὁ
πονηρά A1A-APN--- πονηρός
ἕως C--------- ἕως
ἂν X--------- ἄν
ἐξολεθρεύσῃ VA--AAS3S- ὀλεθρεύω ἐκ
ὑμᾶς RP--AP---- σύ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τῆς RA--GSF--- ὁ
ἀγαθῆς A1--GSF--- ἀγαθός
ταύτης RD--GSF--- οὗτος
ἧς RR--GSF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
κύριος N2--NSM--- κύριος
ὑμῖν RP--DP---- σύ

Jos 23:16
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
παραβῆναι VZ--AAN--- βαίνω παρα
ὑμᾶς RP--AP---- σύ
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ὑμῶν RP--GP---- σύ
ἣν RR--ASF--- ὅς
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
πορευθέντες VC--APPNPM πορεύομαι
λατρεύσητε VA--AAS2P- λατρεύω
θεοῖς N2--DPM--- θεός
ἑτέροις A1A-DPM--- ἕτερος
καὶ C--------- καί
προσκυνήσητε VA--AAS2P- κυνέω προς
αὐτοῖς RD--DPM--- αὐτός

Jos 24:1
καὶ C--------- καί
συνήγαγεν VBI-AAI3S- ἄγω συν
Ἰησοῦς N---NSM--- Ἰησοῦς
πάσας A1S-APF--- πᾶς
φυλὰς N1--APF--- φυλή
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
Σηλω N---AS---- Σηλω
καὶ C--------- καί
συνεκάλεσεν VAI-AAI3S- καλέω συν
τοὺς RA--APM--- ὁ
πρεσβυτέρους A1A-APMC-- πρεσβύτερος
αὐτῶν RD--GPF--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
γραμματεῖς N3V-APM--- γραμματεύς
αὐτῶν RD--GPF--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δικαστὰς N1M-APM--- δικαστής
αὐτῶν RD--GPF--- αὐτός
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
αὐτοὺς RD--APM--- αὐτός
ἀπέναντι P--------- ἀπέναντι
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός

Jos 24:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ἰησοῦς N---NSM--- Ἰησοῦς
πρὸς P--------- πρός
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
πέραν P--------- πέραν
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
κατῴκησαν VAI-AAI3P- οἰκέω κατα
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ὑμῶν RP--GP---- σύ
τὸ RA--ASN--- ὁ
ἀπ' P--------- ἀπό
ἀρχῆς N1--GSF--- ἀρχή
Θαρα N---NS---- Θαρα
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
Αβρααμ N---GSM--- Ἀβραάμ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
Ναχωρ N---GS---- Ναχωρ
καὶ C--------- καί
ἐλάτρευσαν VAI-AAI3P- λατρεύω
θεοῖς N2--DPM--- θεός
ἑτέροις A1A-DPM--- ἕτερος

Jos 24:3
καὶ C--------- καί
ἔλαβον VBI-AAI1S- λαμβάνω
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
ὑμῶν RP--GP---- σύ
τὸν RA--ASM--- ὁ
Αβρααμ N---ASM--- Ἀβραάμ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
πέραν D--------- πέραν
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
καὶ C--------- καί
ὡδήγησα VAI-AAI1S- ὁδηγέω
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
καὶ C--------- καί
ἐπλήθυνα VAI-AAI1S- πληθύνω
αὐτοῦ RD--GSM--- αὐτός
σπέρμα N3M-ASN--- σπέρμα
καὶ C--------- καί
ἔδωκα VAI-AAI1S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
τὸν RA--ASM--- ὁ
Ισαακ N---ASM--- Ισαακ

Jos 24:4
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Ισαακ N---DSM--- Ισαακ
τὸν RA--ASM--- ὁ
