Est 1:1a
δοθήτω VC--APD3S- δίδωμι
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
χρῆσθαι V3--PMN--- χράομαι
ὡσαύτως D--------- ὡσαύτως
τὴν RA--ASF--- ὁ
αὔριον D--------- αὔριον
ὥστε C--------- ὥστε
τοὺς RA--APM--- ὁ
δέκα M--------- δέκα
υἱοὺς N2--APM--- υἱός
κρεμάσαι VA--AAN--- κρεμάζω
Αμαν N---GSM--- Αμαν

Est 9:14
καὶ C--------- καί
ἐπέτρεψεν VAI-AAI3S- τρέπω ἐπι
οὕτως D--------- οὕτως
γενέσθαι VB--AMN--- γίγνομαι
καὶ C--------- καί
ἐξέθηκε VAI-AAI3S- τίθημι ἐκ
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
τὰ RA--APN--- ὁ
σώματα N3M-APN--- σῶμα
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Αμαν N---GSM--- Αμαν
κρεμάσαι VA--AAN--- κρεμάζω

Est 9:15
καὶ C--------- καί
συνήχθησαν VQI-API3P- ἄγω συν
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
τῇ RA--DSF--- ὁ
τεσσαρεσκαιδεκάτῃ A1--DSF--- τεσσαρεσκαιδέκατος
τοῦ RA--GSM--- ὁ
Αδαρ N---GSM--- Αδαρ
καὶ C--------- καί
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
ἄνδρας N3--APM--- ἀνήρ
τριακοσίους A1A-APM--- τριακόσιοι
καὶ C--------- καί
οὐδὲν A3--ASN--- οὐδείς
διήρπασαν VAI-AAI3P- ἁρπάζω δια

Est 9:16
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
λοιποὶ A1--NPM--- λοιπός
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
συνήχθησαν VQI-API3P- ἄγω συν
καὶ C--------- καί
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
ἐβοήθουν V2I-IAI3P- βοηθέω
καὶ C--------- καί
ἀνεπαύσαντο VAI-AMI3P- παύω ἀνα
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
πολεμίων A1A-GPM--- πολέμιος
ἀπώλεσαν VAI-AAI3P- ὀλλύω ἀπο
γὰρ X--------- γάρ
αὐτῶν RD--GPM--- αὐτός
μυρίους A1A-APM--- μύριοι
πεντακισχιλίους A1A-APM--- πεντακισχίλιοι
τῇ RA--DSF--- ὁ
τρισκαιδεκάτῃ A1--DSF--- τρισκαιδέκατος
τοῦ RA--GSM--- ὁ
Αδαρ N---GSM--- Αδαρ
καὶ C--------- καί
οὐδὲν A3--ASN--- οὐδείς
διήρπασαν VAI-AAI3P- ἁρπάζω δια

Est 9:17
καὶ C--------- καί
ἀνεπαύσαντο VAI-AMI3P- παύω ἀνα
τῇ RA--DSF--- ὁ
τεσσαρεσκαιδεκάτῃ A1--DSF--- τεσσαρεσκαιδέκατος
τοῦ RA--GSM--- ὁ
αὐτοῦ RD--GSM--- αὐτός
μηνὸς N3--GSM--- μήν
καὶ C--------- καί
ἦγον V1I-IAI3P- ἄγω
αὐτὴν RD--ASF--- αὐτός
ἡμέραν N1A-ASF--- ἡμέρα
ἀναπαύσεως N3I-GSF--- ἀνάπαυσις
μετὰ P--------- μετά
χαρᾶς N1A-GSF--- χαρά
καὶ C--------- καί
εὐφροσύνης N1--GSF--- εὐφροσύνη

Est 9:18
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
συνήχθησαν VQI-API3P- ἄγω συν
καὶ D--------- καί
τῇ RA--DSF--- ὁ
τεσσαρεσκαιδεκάτῃ A1--DSF--- τεσσαρεσκαιδέκατος
καὶ C--------- καί
οὐκ D--------- οὐ
ἀνεπαύσαντο VAI-AMI3P- παύω ἀνα
ἦγον V1I-IAI3P- ἄγω
δὲ X--------- δέ
καὶ D--------- καί
τὴν RA--ASF--- ὁ
πεντεκαιδεκάτην A1--ASF--- πεντεκαιδέκατος
μετὰ P--------- μετά
χαρᾶς N1A-GSF--- χαρά
καὶ C--------- καί
εὐφροσύνης N1--GSF--- εὐφροσύνη

Est 9:19
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
οὖν X--------- οὖν
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
οἱ RA--NPM--- ὁ
διεσπαρμένοι VM--XMPNPM σπείρω δια
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
χώρᾳ N1A-DSF--- χώρα
τῇ RA--DSF--- ὁ
ἔξω D--------- ἔξω
ἄγουσιν V1--PAI3P- ἄγω
τὴν RA--ASF--- ὁ
τεσσαρεσκαιδεκάτην A1--ASF--- τεσσαρεσκαιδέκατος
τοῦ RA--GSM--- ὁ
Αδαρ N---GSM--- Αδαρ
ἡμέραν N1A-ASF--- ἡμέρα
ἀγαθὴν A1--ASF--- ἀγαθός
μετ' P--------- μετά
εὐφροσύνης N1--GSF--- εὐφροσύνη
ἀποστέλλοντες V1--PAPNPM στέλλω ἀπο
μερίδας N3D-APF--- μερίς
ἕκαστος A1--NSM--- ἕκαστος
τῷ RA--DSM--- ὁ
πλησίον D--------- πλησίον
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
μητροπόλεσιν N3I-DPF--- μητρόπολις
καὶ D--------- καί
τὴν RA--ASF--- ὁ
πεντεκαιδεκάτην A1--ASF--- πεντεκαιδέκατος
τοῦ RA--GSM--- ὁ
Αδαρ N---GSM--- Αδαρ
ἡμέραν N1A-ASF--- ἡμέρα
εὐφροσύνην N1--ASF--- εὐφροσύνη
ἀγαθὴν A1--ASF--- ἀγαθός
ἄγουσιν V1--PAI3P- ἄγω
ἐξαποστέλλοντες V1--PAPNPM στέλλω ἐκ ἀπο
μερίδας N3D-APF--- μερίς
τοῖς RA--DPM--- ὁ
πλησίον D--------- πλησίον

Est 9:20
ἔγραψεν VAI-AAI3S- γράφω
δὲ X--------- δέ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
εἰς P--------- εἰς
βιβλίον N2N-ASN--- βιβλίον
καὶ C--------- καί
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
ὅσοι A1--NPM--- ὅσος
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης
βασιλείᾳ N1A-DSF--- βασιλεία
τοῖς RA--DPM--- ὁ
ἐγγὺς D--------- ἐγγύς
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
μακράν D--------- μακράν

Est 9:21
στῆσαι VA--AAN--- ἵστημι
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ταύτας RD--APF--- οὗτος
ἀγαθὰς A1--APF--- ἀγαθός
ἄγειν V1--PAN--- ἄγω
τε X--------- τε
τὴν RA--ASF--- ὁ
τεσσαρεσκαιδεκάτην A1--ASF--- τεσσαρεσκαιδέκατος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πεντεκαιδεκάτην A1--ASF--- πεντεκαιδέκατος
τοῦ RA--GSM--- ὁ
Αδαρ N---GSM--- Αδαρ

Est 9:22
ἐν P--------- ἐν
γὰρ X--------- γάρ
ταύταις RD--DPF--- οὗτος
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἀνεπαύσαντο VAI-AMI3P- παύω ἀνα
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
μῆνα N3--ASM--- μήν
ἐν P--------- ἐν
ᾧ RR--DSM--- ὅς
ἐστράφη VDI-API3S- στρέφω
αὐτοῖς RD--DPM--- αὐτός
ὃς RR--NSM--- ὅς
ἦν V9--IAI3S- εἰμί
Αδαρ N---NSM--- Αδαρ
ἀπὸ P--------- ἀπό
πένθους N3E-GSN--- πένθος
εἰς P--------- εἰς
χαρὰν N1A-ASF--- χαρά
καὶ C--------- καί
ἀπὸ P--------- ἀπό
ὀδύνης N1--GSF--- ὀδύνη
εἰς P--------- εἰς
ἀγαθὴν A1--ASF--- ἀγαθός
ἡμέραν N1A-ASF--- ἡμέρα
ἄγειν V1--PAN--- ἄγω
ὅλον A1--ASM--- ὅλος
ἀγαθὰς A1--APF--- ἀγαθός
ἡμέρας N1A-APF--- ἡμέρα
γάμων N2--GPM--- γάμος
καὶ C--------- καί
εὐφροσύνης N1--GSF--- εὐφροσύνη
ἐξαποστέλλοντας V1--PAPAPM στέλλω ἐκ ἀπο
μερίδας N3D-APF--- μερίς
τοῖς RA--DPM--- ὁ
φίλοις A1--DPM--- φίλος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πτωχοῖς N2--DPM--- πτωχός

Est 9:23
καὶ C--------- καί
προσεδέξαντο VAI-AMI3P- δέχομαι προς
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
καθὼς D--------- καθώς
ἔγραψεν VAI-AAI3S- γράφω
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος

Est 9:24
πῶς D--------- πῶς
Αμαν N---NSM--- Αμαν
Αμαδαθου N2--GSM--- Αμαδαθος
ὁ RA--NSM--- ὁ
Μακεδὼν N3N-NSM--- Μακεδών
ἐπολέμει V2I-IAI3S- πολεμέω
αὐτούς RD--APM--- αὐτός
καθὼς D--------- καθώς
ἔθετο VEI-AMI3S- τίθημι
ψήφισμα N3M-ASN--- ψήφισμα
καὶ C--------- καί
κλῆρον N2--ASM--- κλῆρος
ἀφανίσαι VA--AAN--- ἵζω ἀπο ἀνα
αὐτούς RD--APM--- αὐτός

Est 9:25
καὶ C--------- καί
ὡς C--------- ὡς
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
λέγων V1--PAPNSM λέγω
κρεμάσαι VA--AAN--- κρεμάζω
τὸν RA--ASM--- ὁ
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
ὅσα A1--APN--- ὅσος
δὲ X--------- δέ
ἐπεχείρησεν VAI-AAI3S- χειρέω ἐπι
ἐπάξαι VA--AAN--- ἄγω ἐπι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος
κακά A1--APN--- κακός
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ἐγένοντο VBI-AMI3P- γίγνομαι
καὶ C--------- καί
ἐκρεμάσθη VSI-API3S- κρεμάζω
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
τέκνα N2N-NPN--- τέκνον
αὐτοῦ RD--GSM--- αὐτός

Est 9:26
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐπεκλήθησαν VCI-API3P- καλέω ἐπι
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
αὗται RD--NPF--- ἑαυτοῦ
Φρουραι N---NP---- Φρουραι
διὰ P--------- διά
τοὺς RA--APM--- ὁ
κλήρους N2--APM--- κλῆρος
ὅτι C--------- ὅτι
τῇ RA--DSF--- ὁ
διαλέκτῳ N2--DSF--- διάλεκτος
αὐτῶν RD--GPM--- αὐτός
καλοῦνται V2--PMI3P- καλέω
Φρουραι N---NPF--- Φρουραι
διὰ P--------- διά
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τῆς RA--GSF--- ὁ
ἐπιστολῆς N1--GSF--- ἐπιστολή
ταύτης RD--GSF--- οὗτος
καὶ C--------- καί
ὅσα A1--NPN--- ὅσος
πεπόνθασιν VX--XAI3P- πάσχω
διὰ P--------- διά
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
ὅσα A1--NPN--- ὅσος
αὐτοῖς RD--DPM--- αὐτός
ἐγένετο VBI-AMI3S- γίγνομαι

Est 9:27
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
καὶ C--------- καί
προσεδέχοντο V1I-IMI3P- δέχομαι προς
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
ἐφ' P--------- ἐπί
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
σπέρματι N3M-DSN--- σπέρμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοῖς RA--DPM--- ὁ
προστεθειμένοις VT--XMPDPM τίθημι προς
ἐπ' P--------- ἐπί
αὐτῶν RD--GPM--- αὐτός
οὐδὲ C--------- οὐδέ
μὴν X--------- μήν
ἄλλως D--------- ἄλλως
χρήσονται VF--FMI3P- χράω
αἱ RA--NPF--- ὁ
δὲ X--------- δέ
ἡμέραι N1A-NPF--- ἡμέρα
αὗται RD--NPF--- ἑαυτοῦ
μνημόσυνον N2N-NSN--- μνημόσυνον
ἐπιτελούμενον V2--PMPNSN τελέω ἐπι
κατὰ P--------- κατά
γενεὰν N1A-ASF--- γενεά
καὶ C--------- καί
γενεὰν N1A-ASF--- γενεά
καὶ C--------- καί
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
πατριὰν N1A-ASF--- πατριά
καὶ C--------- καί
χώραν N1A-ASF--- χώρα

Est 9:28
αἱ RA--NPF--- ὁ
δὲ X--------- δέ
ἡμέραι N1A-NPF--- ἡμέρα
αὗται RD--NPF--- ἑαυτοῦ
τῶν RA--GPF--- ὁ
Φρουραι N---GPF--- Φρουραι
ἀχθήσονται VQ--FPI3P- ἄγω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἅπαντα A3--ASM--- ἅπας
χρόνον N2--ASM--- χρόνος
καὶ C--------- καί
τὸ RA--NSN--- ὁ
μνημόσυνον N2N-NSN--- μνημόσυνον
αὐτῶν RD--GPF--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
ἐκλίπῃ VB--AAS3S- λείπω ἐκ
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
γενεῶν N1A-GPF--- γενεά

Est 9:29
καὶ C--------- καί
ἔγραψεν VAI-AAI3S- γράφω
Εσθηρ N---NSF--- Εσθηρ
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
θυγάτηρ N3--NSF--- θυγάτηρ
Αμιναδαβ N---GSM--- Αμιναδαβ
καὶ C--------- καί
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ὁ RA--NSM--- ὁ
Ιουδαῖος N2--NSM--- Ἰουδαῖος
ὅσα A1--APN--- ὅσος
ἐποίησαν VAI-AAI3P- ποιέω
τό RA--ASN--- ὁ
τε X--------- τε
στερέωμα N3M-ASN--- στερέωμα
τῆς RA--GSF--- ὁ
ἐπιστολῆς N1--GSF--- ἐπιστολή
τῶν RA--GPF--- ὁ
Φρουραι N---GPF--- Φρουραι

Est 9:31
καὶ C--------- καί
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
καὶ C--------- καί
Εσθηρ N---NSF--- Εσθηρ
ἡ RA--NSF--- ὁ
βασίλισσα N1--NSF--- βασίλισσα
ἔστησαν VAI-AAI3P- ἵστημι
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
καθ' P--------- κατά
ἑαυτῶν RD--GPM--- ἑαυτοῦ
καὶ C--------- καί
τότε D--------- τότε
στήσαντες VA--AAPNPM ἵστημι
κατὰ P--------- κατά
τῆς RA--GSF--- ὁ
ὑγιείας N1A-GSF--- ὑγίεια
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
βουλὴν N1--ASF--- βουλή
αὐτῶν RD--GPM--- αὐτός

Est 9:32
καὶ C--------- καί
Εσθηρ N---NSF--- Εσθηρ
λόγῳ N2--DSM--- λόγος
ἔστησεν VAI-AAI3S- ἵστημι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
καὶ C--------- καί
ἐγράφη VDI-API3S- γράφω
εἰς P--------- εἰς
μνημόσυνον N2N-ASN--- μνημόσυνον

Est 10:1
ἔγραψεν VAI-AAI3S- γράφω
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τέλη N3E-APN--- τέλος
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
τῆς RA--GSF--- ὁ
τε X--------- τε
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα

Est 10:2
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀνδραγαθίαν N1A-ASF--- ἀνδραγαθία
πλοῦτόν N2--ASM--- πλοῦτος
τε X--------- τε
καὶ C--------- καί
δόξαν N1S-ASF--- δόξα
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
ἰδοὺ I--------- ἰδού
γέγραπται VP--XMI3S- γράφω
ἐν P--------- ἐν
βιβλίῳ N2N-DSN--- βιβλίον
βασιλέων N3V-GPM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
καὶ C--------- καί
Μήδων N2--GPM--- Μῆδοι
εἰς P--------- εἰς
μνημόσυνον N2N-ASN--- μνημόσυνον

Est 10:3
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
διεδέχετο V1I-IMI3S- δέχομαι δια
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Ἀρταξέρξην N1M-ASM--- Ἀρταξέρξης
καὶ C--------- καί
μέγας A1P-NSM--- μέγας
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
καὶ C--------- καί
δεδοξασμένος VT--XPPNSM δοξάζω
ὑπὸ P--------- ὑπό
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος
καὶ C--------- καί
φιλούμενος V2--PPPNSM φιλέω
διηγεῖτο V1--IMI3S- ἡγέομαι δια
τὴν RA--ASF--- ὁ
ἀγωγὴν N1--ASF--- ἀγωγή
παντὶ A3--DSN--- πᾶς
τῷ RA--DSN--- ὁ
ἔθνει N3E-DSN--- ἔθνος
αὐτοῦ RD--GSM--- αὐτός

Est 10:3a
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐγένετο VBI-AMI3S- γίγνομαι
ταῦτα RD--NPN--- οὗτος

Est 10:3b
ἐμνήσθην VSI-API1S- μιμνήσκω
γὰρ X--------- γάρ
περὶ P--------- περί
τοῦ RA--GSN--- ὁ
ἐνυπνίου N2N-GSN--- ἐνύπνιον
οὗ RR--GSN--- ὅς
εἶδον VBI-AAI1S- ὁράω
περὶ P--------- περί
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
τούτων RD--GPM--- οὗτος
οὐδὲ C--------- οὐδέ
γὰρ X--------- γάρ
παρῆλθεν VBI-AAI3S- ἔρχομαι παρα
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
λόγος N2--NSM--- λόγος

Est 10:3c
ἡ RA--NSF--- ὁ
μικρὰ A1A-NSF--- μικρός
πηγή N1--NSF--- πηγή
ἣ RR--NSF--- ὅς
ἐγένετο VBI-AMI3S- γίγνομαι
ποταμὸς N2--NSM--- ποταμός
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
φῶς N3T-NSN--- φῶς
καὶ C--------- καί
ἥλιος N2--NSM--- ἥλιος
καὶ C--------- καί
ὕδωρ N3--NSN--- ὕδωρ
πολύ A1P-NSN--- πολύς
Εσθηρ N---NSF--- Εσθηρ
ἐστὶν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ποταμός N2--NSM--- ποταμός
ἣν RR--ASF--- ὅς
ἐγάμησεν VAI-AAI3S- γαμέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
βασίλισσαν N1A-ASF--- βασίλισσα

Est 10:3d
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
δύο M--------- δύο
δράκοντες N3--NPM--- δράκων
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
καὶ C--------- καί
Αμαν N---NSM--- Αμαν

Est 10:3e
τὰ RA--NPN--- ὁ
δὲ X--------- δέ
ἔθνη N3E-NPN--- ἔθνος
τὰ RA--NPN--- ὁ
ἐπισυναχθέντα VQ--APPNPN ἄγω ἐπι συν
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος

Est 10:3f
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
ἔθνος N3E-NSN--- ἔθνος
τὸ RA--NSN--- ὁ
ἐμόν A1--NSN--- ἐμός
οὗτός RD--NSM--- οὗτος
ἐστιν V9--PAI3S- εἰμί
Ισραηλ N---NSM--- Ἰσραήλ
οἱ RA--NPM--- ὁ
βοήσαντες VA--AAPNPM βοάω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
σωθέντες VC--APPNPM σώζω
καὶ C--------- καί
ἔσωσεν VAI-AAI3S- σώζω
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
