Gen 1:1
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Σουταλααμ N---GSM--- Σουταλααμ
Εδεμ N---NSM--- Εδεμ

Gen 46:21
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Βενιαμιν N---GSM--- Βενιαμίν
Βαλα N---NSM--- Βαλα
καὶ C--------- καί
Χοβωρ N---NSM--- Χοβωρ
καὶ C--------- καί
Ασβηλ N---NSM--- Ασβηλ
ἐγένοντο VBI-AMI3P- γίγνομαι
δὲ X--------- δέ
υἱοὶ N2--NPM--- υἱός
Βαλα N---GSM--- Βαλα
Γηρα N---NSM--- Γηρα
καὶ C--------- καί
Νοεμαν N---NSM--- Νοεμαν
καὶ C--------- καί
Αγχις N---NSM--- Αγχις
καὶ C--------- καί
Ρως N---NSM--- Ρως
καὶ C--------- καί
Μαμφιν N---NSM--- Μαμφιν
καὶ C--------- καί
Οφιμιν N---NSM--- Οφιμιν
Γηρα N---NSM--- Γηρα
δὲ X--------- δέ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Αραδ N---ASM--- Αραδ

Gen 46:22
οὗτοι RD--NPM--- οὗτος
υἱοὶ N2--NPM--- υἱός
Ραχηλ N---GSF--- Ραχηλ
οὓς RR--APM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
πᾶσαι A1S-NPF--- πᾶς
ψυχαὶ N1--NPF--- ψυχή
δέκα M--------- δέκα
ὀκτώ M--------- ὀκτώ

Gen 46:23
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Δαν N---GSM--- Δαν
Ασομ N---NSM--- Ασομ

Gen 46:24
καὶ C--------- καί
υἱοὶ N2--NPM--- υἱός
Νεφθαλι N---GSM--- Νεφθαλι
Ασιηλ N---NSM--- Ασιηλ
καὶ C--------- καί
Γωυνι N---NSM--- Γωυνι
καὶ C--------- καί
Ισσααρ N---NSM--- Ισσααρ
καὶ C--------- καί
Συλλημ N---NSM--- Συλλημ

Gen 46:25
οὗτοι RD--NPM--- οὗτος
υἱοὶ N2--NPM--- υἱός
Βαλλας N---GSF--- Βαλλα
ἣν RR--ASF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
Λαβαν N---NSM--- Λαβαν
Ραχηλ N---DSF--- Ραχηλ
τῇ RA--DSF--- ὁ
θυγατρὶ N3--DSF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
ἣ RR--NSF--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
τούτους RD--APM--- οὗτος
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
πᾶσαι A1S-NPF--- πᾶς
ψυχαὶ N1--NPF--- ψυχή
ἑπτά M--------- ἑπτά

Gen 46:26
πᾶσαι A1S-NPF--- πᾶς
δὲ X--------- δέ
ψυχαὶ N1--NPF--- ψυχή
αἱ RA--NPF--- ὁ
εἰσελθοῦσαι VB--AAPNPF ἔρχομαι εἰς
μετὰ P--------- μετά
Ιακωβ N---GSM--- Ἰακώβ
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
οἱ RA--NPM--- ὁ
ἐξελθόντες VB--AAPNPM ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
μηρῶν N2--GPM--- μηρός
αὐτοῦ RD--GSM--- αὐτός
χωρὶς P--------- χωρίς
τῶν RA--GPF--- ὁ
γυναικῶν N3K-GPF--- γυνή
υἱῶν N2--GPM--- υἱός
Ιακωβ N---GSM--- Ἰακώβ
πᾶσαι A1S-NPF--- πᾶς
ψυχαὶ N1--NPF--- ψυχή
ἑξήκοντα M--------- ἑξήκοντα
ἕξ M--------- ἕξ

Gen 46:27
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ιωσηφ N---GSM--- Ιωσηφ
οἱ RA--NPM--- ὁ
γενόμενοι VB--AMPNPM γίγνομαι
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αἰγύπτῳ N2--DSF--- Αἴγυπτος
ψυχαὶ N1--NPF--- ψυχή
ἐννέα M--------- ἐννέα
πᾶσαι A1S-NPF--- πᾶς
ψυχαὶ N1--NPF--- ψυχή
οἴκου N2--GSM--- οἶκος
Ιακωβ N---GSM--- Ἰακώβ
αἱ RA--NPF--- ὁ
εἰσελθοῦσαι VB--AAPNPF ἔρχομαι εἰς
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
ἑβδομήκοντα M--------- ἑβδομήκοντα
πέντε M--------- πέντε

Gen 46:28
τὸν RA--ASM--- ὁ
δὲ X--------- δέ
Ιουδαν N---ASM--- Ἰούδας
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
ἔμπροσθεν P--------- ἔμπροσθεν
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
Ιωσηφ N---ASM--- Ιωσηφ
συναντῆσαι VA--AAN--- ἀντάω συν
αὐτῷ RD--DSM--- αὐτός
καθ' P--------- κατά
Ἡρώων N3--GPM--- ἥρως
πόλιν N3I-ASF--- πόλις
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Ραμεσση N----SF--- Ραμεσση

Gen 46:29
ζεύξας VA--AAPNSM ζευγνύω
δὲ X--------- δέ
Ιωσηφ N---NSM--- Ιωσηφ
τὰ RA--APN--- ὁ
ἅρματα N3M-APN--- ἅρμα
αὐτοῦ RD--GSM--- αὐτός
ἀνέβη VZI-AAI3S- βαίνω ἀνα
εἰς P--------- εἰς
συνάντησιν N3I-ASF--- συνάντησις
Ισραηλ N---DSM--- Ἰσραήλ
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καθ' P--------- κατά
Ἡρώων N3--GPM--- ἥρως
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
ὀφθεὶς VV--APPNSM ὁράω
αὐτῷ RD--DSM--- αὐτός
ἐπέπεσεν VBI-AAI3S- πίπτω ἐπι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τράχηλον N2--ASM--- τράχηλος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔκλαυσεν VAI-AAI3S- κλαίω
κλαυθμῷ N2--DSM--- κλαυθμός
πλείονι A3C-DSMC-- πολύς

Gen 46:30
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ισραηλ N---NSM--- Ἰσραήλ
πρὸς P--------- πρός
Ιωσηφ N---ASM--- Ιωσηφ
ἀποθανοῦμαι VF2-FMI1S- θνήσκω ἀπο
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
νῦν D--------- νῦν
ἐπεὶ C--------- ἐπεί
ἑώρακα VX--XAI1S- ὁράω
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
ἔτι D--------- ἔτι
γὰρ X--------- γάρ
σὺ RP--NS---- σύ
ζῇς V3--PAI2S- ζάω

Gen 46:31
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ιωσηφ N---NSM--- Ιωσηφ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
ἀναβὰς VZ--AAPNSM βαίνω ἀνα
ἀπαγγελῶ VF2-FAI1S- ἀγγέλλω ἀπο
τῷ RA--DSM--- ὁ
Φαραω N---DSM--- Φαραώ
καὶ C--------- καί
ἐρῶ VF2-FAI1S- εἶπον
αὐτῷ RD--DSM--- αὐτός
οἱ RA--NPM--- ὁ
ἀδελφοί N2--NPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χανααν N----S---- Χανααν
ἥκασιν V1--PAI3P- ἥκω
πρός P--------- πρός
με RP--AS---- ἐγώ

Gen 46:32
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἄνδρες N3--NPM--- ἀνήρ
εἰσὶν V9--PAI3P- εἰμί
ποιμένες N3--NPM--- ποιμήν
ἄνδρες N3--NPM--- ἀνήρ
γὰρ X--------- γάρ
κτηνοτρόφοι A1--NPM--- κτηνοτρόφος
ἦσαν V9--IAI3P- εἰμί
καὶ C--------- καί
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
βόας N3--APM--- βοῦς
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
αὐτῶν RD--GPM--- αὐτός
ἀγειόχασιν VX--XAI3P- ἄγω

Gen 46:33
ἐὰν C--------- ἐάν
οὖν X--------- οὖν
καλέσῃ VA--AAS3S- καλέω
ὑμᾶς RP--AP---- σύ
Φαραω N---NSM--- Φαραώ
καὶ C--------- καί
εἴπῃ VBI-AAS3S- εἶπον
ὑμῖν RP--DP---- σύ
τί RI--NSN--- τίς
τὸ RA--NSN--- ὁ
ἔργον N2N-NSN--- ἔργον
ὑμῶν RP--GP---- σύ
ἐστιν V9--PAI3S- εἰμί

Gen 46:34
ἐρεῖτε VF2-FAI2P- εἶπον
ἄνδρες N3--NPM--- ἀνήρ
κτηνοτρόφοι A1--NPM--- κτηνοτρόφος
ἐσμὲν V9--PAI1P- εἰμί
οἱ RA--NPM--- ὁ
παῖδές N3D-NPM--- παῖς
σου RP--GS---- σύ
ἐκ P--------- ἐκ
παιδὸς N3D-GSM--- παῖς
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
νῦν D--------- νῦν
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἵνα C--------- ἵνα
κατοικήσητε VA--AAS2P- οἰκέω κατα
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Γεσεμ N----S---- Γεσεμ
Ἀραβίᾳ N1A-DSF--- Ἀραβία
βδέλυγμα N3M-NSN--- βδέλυγμα
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
Αἰγυπτίοις N2--DPM--- Αἰγύπτιος
πᾶς A3--NSM--- πᾶς
ποιμὴν N3--NSM--- ποιμήν
προβάτων N2N-GPN--- πρόβατον

Gen 47:1
ἐλθὼν VB--AAPNSM ἔρχομαι
δὲ X--------- δέ
Ιωσηφ N---NSM--- Ιωσηφ
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
τῷ RA--DSM--- ὁ
Φαραω N---DSM--- Φαραώ
λέγων V1--PAPNSM λέγω
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἀδελφοί N2--NPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
κτήνη N3E-NPN--- κτῆνος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βόες N3--NPM--- βοῦς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
αὐτῶν RD--GPM--- αὐτός
ἦλθον VBI-AAI3P- ἔρχομαι
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Χανααν N---GS---- Χανααν
καὶ C--------- καί
ἰδού I--------- ἰδού
εἰσιν V9--PAI3P- εἰμί
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Γεσεμ N----S---- Γεσεμ

Gen 47:2
ἀπὸ P--------- ἀπό
δὲ X--------- δέ
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
παρέλαβεν VBI-AAI3S- λαμβάνω παρα
πέντε M--------- πέντε
ἄνδρας N3--APM--- ἀνήρ
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
αὐτοὺς RD--APM--- αὐτός
ἐναντίον P--------- ἐναντίον
Φαραω N---GSM--- Φαραώ

Gen 47:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Φαραω N---NSM--- Φαραώ
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
Ιωσηφ N---GSM--- Ιωσηφ
τί RI--NSN--- τίς
τὸ RA--NSN--- ὁ
ἔργον N2N-NSN--- ἔργον
ὑμῶν RP--GP---- σύ
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
εἶπαν VAI-AAI3P- εἶπον
τῷ RA--DSM--- ὁ
Φαραω N---DSM--- Φαραώ
ποιμένες N3--NPM--- ποιμήν
προβάτων N2N-GPN--- πρόβατον
οἱ RA--NPM--- ὁ
παῖδές N3D-NPM--- παῖς
σου RP--GS---- σύ
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ

Gen 47:4
εἶπαν VAI-AAI3P- εἶπον
δὲ X--------- δέ
τῷ RA--DSM--- ὁ
Φαραω N---DSM--- Φαραώ
παροικεῖν V2--PAN--- οἰκέω παρα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ἥκαμεν V1--PAI1P- ἥκω
οὐ D--------- οὐ
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
νομὴ N1--NSF--- νομή
τοῖς RA--DPN--- ὁ
κτήνεσιν N3E-DPN--- κτῆνος
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ
ἐνίσχυσεν VAI-AAI3S- ἰσχύω ἐν
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
λιμὸς N2--NSM--- λιμός
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χανααν N----S---- Χανααν
νῦν D--------- νῦν
οὖν X--------- οὖν
κατοικήσομεν VF--FAI1P- οἰκέω κατα
οἱ RA--NPM--- ὁ
παῖδές N3D-NPM--- παῖς
σου RP--GS---- σύ
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Γεσεμ N----S---- Γεσεμ

Gen 47:5
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Φαραω N---NSM--- Φαραώ
τῷ RA--DSM--- ὁ
Ιωσφη N---DSM--- Ιωσφη
κατοικείτωσαν VA--AAD3P- οἰκέω κατα
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Γεσεμ N----S---- Γεσεμ
εἰ C--------- εἰ
δὲ X--------- δέ
ἐπίστῃ V6--PMI2S- ἐπίσταμαι
ὅτι C--------- ὅτι
εἰσὶν V9--PAI3P- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
ἄνδρες N3--NPM--- ἀνήρ
δυνατοί A1--NPM--- δυνατός
κατάστησον VA--AAD2S- ἵστημι κατα
αὐτοὺς RD--APM--- αὐτός
ἄρχοντας N3--APM--- ἄρχων
τῶν RA--GPN--- ὁ
ἐμῶν A1--GPN--- ἐμός
κτηνῶν N3E-GPN--- κτῆνος
ἦλθον VBI-AAI3P- ἔρχομαι
δὲ X--------- δέ
εἰς P--------- εἰς
Αἴγυπτον N2--ASF--- Αἴγυπτος
πρὸς P--------- πρός
Ιωσηφ N---ASM--- Ιωσηφ
Ιακωβ N---NSM--- Ἰακώβ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
Φαραω N---NSM--- Φαραώ
βασιλεὺς N3V-NSM--- βασιλεύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Φαραω N---NSM--- Φαραώ
πρὸς P--------- πρός
Ιωσηφ N---ASM--- Ιωσηφ
λέγων V1--PAPNSM λέγω
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἀδελφοί N2--NPM--- ἀδελφός
σου RP--GS---- σύ
ἥκασι V1--PAI3P- ἥκω
πρὸς P--------- πρός
σέ RP--AS---- σύ

Gen 47:6
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἐναντίον P--------- ἐναντίον
σού RP--GS---- σύ
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βελτίστῃ A1--DSFS-- βελτίων
γῇ N1--DSF--- γῆ
κατοίκισον VA--AAD2S- οἰκίζω κατα
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
σου RP--GS---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀδελφούς N2--APM--- ἀδελφός
σου RP--GS---- σύ

Gen 47:7
εἰσήγαγεν VBI-AAI3S- ἄγω εἰς
δὲ X--------- δέ
Ιωσηφ N---NSM--- Ιωσηφ
Ιακωβ N---ASM--- Ἰακώβ
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
αὐτὸν RD--ASM--- αὐτός
ἐναντίον P--------- ἐναντίον
Φαραω N---GSM--- Φαραώ
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
Ιακωβ N---NSM--- Ἰακώβ
τὸν RA--ASM--- ὁ
Φαραω N---ASM--- Φαραώ

Gen 47:8
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Φαραω N---NSM--- Φαραώ
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
πόσα A1A-NPN--- πόσος
ἔτη N3E-NPN--- ἔτος
ἡμερῶν N1A-GPF--- ἡμέρα
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
σου RP--GS---- σύ

Gen 47:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ιακωβ N---NSM--- Ἰακώβ
τῷ RA--DSM--- ὁ
Φαραω N---DSM--- Φαραώ
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τῶν RA--GPN--- ὁ
ἐτῶν N3E-GPN--- ἔτος
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
μου RP--GS---- ἐγώ
ἃς RR--APF--- ὅς
παροικῶ V2--PAI1S- οἰκέω παρα
ἑκατὸν M--------- ἑκατόν
τριάκοντα M--------- τριάκοντα
ἔτη N3E-NPN--- ἔτος
μικραὶ A1A-NPF--- μικρός
καὶ C--------- καί
πονηραὶ A1A-NPF--- πονηρός
γεγόνασιν VX--XAI3P- γίγνομαι
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τῶν RA--GPN--- ὁ
ἐτῶν N3E-GPN--- ἔτος
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
ἀφίκοντο VBI-AMI3P- ἱκνέομαι ἀπο
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῶν RA--GPN--- ὁ
ἐτῶν N3E-GPN--- ἔτος
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
μου RP--GS---- ἐγώ
ἃς RR--APF--- ὅς
ἡμέρας N1A-APF--- ἡμέρα
παρῴκησαν VAI-AAI3P- οἰκέω παρα

Gen 47:10
καὶ C--------- καί
εὐλογήσας VA--AAPNSM εὐλογέω
Ιακωβ N---NSM--- Ἰακώβ
τὸν RA--ASM--- ὁ
Φαραω N---ASM--- Φαραώ
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

Gen 47:11
καὶ C--------- καί
κατῴκισεν VAI-AAI3S- οἰκίζω κατα
Ιωσηφ N---NSM--- Ιωσηφ
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
κατάσχεσιν N3I-ASF--- κατάσχεσις
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βελτίστῃ A1--DSFS-- βελτίων
γῇ N1--DSF--- γῆ
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Ραμεσση N----SF--- Ραμεσση
καθὰ D--------- καθά
προσέταξεν VAI-AAI3S- τάσσω προς
Φαραω N---NSM--- Φαραώ

Gen 47:12
καὶ C--------- καί
ἐσιτομέτρει V2I-IAI3S- σιτομετρέω
Ιωσηφ N---NSM--- Ιωσηφ
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
σῖτον N2--ASM--- σῖτος
κατὰ P--------- κατά
σῶμα N3M-ASN--- σῶμα

Gen 47:13
σῖτος N2--NSM--- σῖτος
δὲ X--------- δέ
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ἐνίσχυσεν VAI-AAI3S- ἰσχύω ἐν
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
λιμὸς N2--NSM--- λιμός
σφόδρα D--------- σφόδρα
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
Χανααν N----S---- Χανααν
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
λιμοῦ N2--GSM--- λιμός

Gen 47:14
συνήγαγεν VBI-AAI3S- ἄγω συν
δὲ X--------- δέ
Ιωσηφ N---NSM--- Ιωσηφ
πᾶν A3--ASN--- πᾶς
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
τὸ RA--ASN--- ὁ
εὑρεθὲν VC--APPASN εὑρίσκω
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Χανααν N----S---- Χανααν
τοῦ RA--GSM--- ὁ
σίτου N2--GSM--- σῖτος
οὗ RR--GSM--- ὅς
ἠγόραζον V1I-IAI3P- ἀγοράζω
καὶ C--------- καί
ἐσιτομέτρει V2I-IAI3S- σιτομετρέω
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
εἰσήνεγκεν VAI-AAI3S- φέρω εἰς
Ιωσηφ N---NSM--- Ιωσηφ
πᾶν A3--ASN--- πᾶς
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Φαραω N---GSM--- Φαραώ

Gen 47:15
καὶ C--------- καί
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
πᾶν A3--NSN--- πᾶς
τὸ RA--NSN--- ὁ
ἀργύριον N2N-NSN--- ἀργύριον
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Χανααν N---GS---- Χανααν
ἦλθον VBI-AAI3P- ἔρχομαι
δὲ X--------- δέ
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
Αἰγύπτιοι N2--NPM--- Αἰγύπτιος
πρὸς P--------- πρός
Ιωσηφ N---ASM--- Ιωσηφ
λέγοντες V1--PAPNPM λέγω
δὸς VO--AAD2S- δίδωμι
ἡμῖν RP--DP---- ἐγώ
ἄρτους N2--APM--- ἄρτος
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
