Dan 1:1
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἂν X--------- ἄν
ποιήσῃ VA--AAS3S- ποιέω
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσαμεν VAI-AAI1P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
αὐτοῦ RD--GSM--- αὐτός

Dan 9:15
καὶ C--------- καί
νῦν D--------- νῦν
δέσποτα N1M-VSM--- δεσπότης
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ὁ RA--NSM--- ὁ
ἐξαγαγὼν VB--AAPNSM ἄγω ἐκ
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
τῷ RA--DSM--- ὁ
βραχίονί N3N-DSM--- βραχίων
σου RP--GS---- σύ
τῷ RA--DSM--- ὁ
ὑψηλῷ A1--DSM--- ὑψηλός
καὶ C--------- καί
ἐποίησας VAI-AAI2S- ποιέω
σεαυτῷ RD--DSM--- σεαυτοῦ
ὄνομα N3M-ASN--- ὄνομα
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
ταύτην RD--ASF--- οὗτος
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἠγνοήκαμεν VXI-XAI1P- ἀγνοέω

Dan 9:16
δέσποτα N1M-VSM--- δεσπότης
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
δικαιοσύνην N1--ASF--- δικαιοσύνη
σου RP--GS---- σύ
ἀποστραφήτω VD--APD3S- στρέφω ἀπο
ὁ RA--NSM--- ὁ
θυμός N2--NSM--- θυμός
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὀργή N1--NSF--- ὀργή
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
πόλεώς N3I-GSF--- πόλις
σου RP--GS---- σύ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ὄρους N3E-GSN--- ὄρος
τοῦ RA--GSN--- ὁ
ἁγίου A1A-GSN--- ἅγιος
σου RP--GS---- σύ
ὅτι C--------- ὅτι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἁμαρτίαις N1A-DPF--- ἁμαρτία
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀγνοίαις N1A-DPF--- ἄγνοια
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
Ιερουσαλημ N---NSF--- Ἰερουσαλήμ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
δῆμός N2--NSM--- δῆμος
σου RP--GS---- σύ
κύριε N2--VSM--- κύριος
εἰς P--------- εἰς
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
ἐν P--------- ἐν
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
περικύκλῳ D--------- περικύκλῳ
ἡμῶν RP--GP---- ἐγώ

Dan 9:17
καὶ C--------- καί
νῦν D--------- νῦν
ἐπάκουσον VA--AAD2S- ἀκούω ἐπι
δέσποτα N1M-VSM--- δεσπότης
τῆς RA--GSF--- ὁ
προσευχῆς N1--GSF--- προσευχή
τοῦ RA--GSM--- ὁ
παιδός N3D-GSM--- παῖς
σου RP--GS---- σύ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
δεήσεις N3I-APF--- δέησις
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐπιβλεψάτω VA--AAD3S- βλέπω ἐπι
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
τὸ RA--ASN--- ὁ
ἅγιόν A1A-ASN--- ἅγιος
σου RP--GS---- σύ
τὸ RA--ASN--- ὁ
ἔρημον A1B-ASN--- ἔρημος
ἕνεκεν P--------- ἕνεκεν
τῶν RA--GPM--- ὁ
δούλων N2--GPM--- δοῦλος
σου RP--GS---- σύ
δέσποτα N1M-VSM--- δεσπότης

Dan 9:18
πρόσχες VB--AAD2S- ἔχω προς
κύριε N2--VSM--- κύριος
τὸ RA--ASN--- ὁ
οὖς N3--ASN--- οὖς
σου RP--GS---- σύ
καὶ C--------- καί
ἐπάκουσόν VA--AAD2S- ἀκούω ἐπι
μου RP--GS---- ἐγώ
ἄνοιξον VA--AAD2S- οἴγω ἀνα
τοὺς RA--APM--- ὁ
ὀφθαλμούς N2--APM--- ὀφθαλμός
σου RP--GS---- σύ
καὶ C--------- καί
ἰδὲ VB--AAD2S- ὁράω
τὴν RA--ASF--- ὁ
ἐρήμωσιν N3I-ASF--- ἐρήμωσις
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τῆς RA--GSF--- ὁ
πόλεώς N3I-GSF--- πόλις
σου RP--GS---- σύ
ἐφ' P--------- ἐπί
ἧς RR--GSF--- ὅς
ἐπεκλήθη VCI-API3S- καλέω ἐπι
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
δικαιοσύναις N1--DPF--- δικαιοσύνη
ἡμῶν RP--GP---- ἐγώ
ἡμεῖς RP--NP---- ἐγώ
δεόμεθα V1--PMI1P- δέω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
προσευχαῖς N1--DPF--- προσευχή
ἡμῶν RP--GP---- ἐγώ
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
ἀλλὰ C--------- ἀλλά
διὰ P--------- διά
τὸ RA--ASN--- ὁ
σὸν A1--ASN--- σός
ἔλεος N3E-ASN--- ἔλεος

Dan 9:19
κύριε N2--VSM--- κύριος
σὺ RP--NS---- σύ
ἱλάτευσον VA--AAD2S- ἱλατεύω
κύριε N2--VSM--- κύριος
ἐπάκουσον VA--AAD2S- ἀκούω ἐπι
καὶ C--------- καί
ποίησον VA--AAD2S- ποιέω
καὶ C--------- καί
μὴ D--------- μή
χρονίσῃς VA--AAS2S- χρονίζω
ἕνεκα P--------- ἕνεκα
σεαυτοῦ RD--GSM--- σεαυτοῦ
δέσποτα N1M-VSM--- δεσπότης
ὅτι C--------- ὅτι
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
ἐπεκλήθη VCI-API3S- καλέω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
σου RP--GS---- σύ
Σιων N---AS---- Σιων
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
Ισραηλ N---ASM--- Ἰσραήλ

Dan 9:20
καὶ C--------- καί
ἕως C--------- ἕως
ἐγὼ RP--NS---- ἐγώ
ἐλάλουν V2I-IAI1S- λαλέω
προσευχόμενος V1--PMPNSM εὔχομαι προς
καὶ C--------- καί
ἐξομολογούμενος V2--PMPNSM ὁμολογέω ἐκ
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
δεόμενος V1--PMPNSM δέω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
προσευχαῖς N1--DPF--- προσευχή
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
τοῦ RA--GSN--- ὁ
ἁγίου A1A-GSN--- ἅγιος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Dan 9:21
καὶ C--------- καί
ἔτι D--------- ἔτι
λαλοῦντός V2--PAPGSM λαλέω
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
προσευχῇ N1--DSF--- προσευχή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὁ RA--NSM--- ὁ
ἀνήρ N3--NSM--- ἀνήρ
ὃν RR--ASM--- ὅς
εἶδον VBI-AAI1S- ὁράω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ὕπνῳ N2--DSM--- ὕπνος
μου RP--GS---- ἐγώ
τὴν RA--ASF--- ὁ
ἀρχήν N1--ASF--- ἀρχή
Γαβριηλ N---NSM--- Γαβριηλ
τάχει N3E-DSN--- τάχος
φερόμενος V1--PMPNSM φέρω
προσήγγισέ VAI-AAI3S- ἐγγίζω προς
μοι RP--DS---- ἐγώ
ἐν P--------- ἐν
ὥρᾳ N1A-DSF--- ὥρα
θυσίας N1A-GSF--- θυσία
ἑσπερινῆς A1--GSF--- ἑσπερινός

Dan 9:22
καὶ C--------- καί
προσῆλθε VBI-AAI3S- ἔρχομαι προς
καὶ C--------- καί
ἐλάλησε VAI-AAI3S- λαλέω
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---VSM--- Δανιηλ
ἄρτι D--------- ἄρτι
ἐξῆλθον VBI-AAI1S- ἔρχομαι ἐκ
ὑποδεῖξαί VA--AAN--- δεικνύω ὑπο
σοι RP--DS---- σύ
διάνοιαν N1A-ASF--- διάνοια

Dan 9:23
ἐν P--------- ἐν
ἀρχῇ N1--DSF--- ἀρχή
τῆς RA--GSF--- ὁ
δεήσεώς N3I-GSF--- δέησις
σου RP--GS---- σύ
ἐξῆλθε VBI-AAI3S- ἔρχομαι ἐκ
πρόσταγμα N3M-ASN--- πρόσταγμα
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἦλθον VBI-AAI1S- ἔρχομαι
ὑποδεῖξαί VA--AAN--- δεικνύω ὑπο
σοι RP--DS---- σύ
ὅτι C--------- ὅτι
ἐλεεινὸς A1--NSM--- ἐλεεινός
εἶ V9--PAI2S- εἰμί
καὶ C--------- καί
διανοήθητι VC--APD2S- νοέομαι δια
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα

Dan 9:24
ἑβδομήκοντα M--------- ἑβδομήκοντα
ἑβδομάδες N3D-NPF--- ἑβδομάς
ἐκρίθησαν VCI-API3P- κρίνω
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
Σιων N---AS---- Σιων
συντελεσθῆναι VS--APN--- τελέω συν
τὴν RA--ASF--- ὁ
ἁμαρτίαν N1A-ASF--- ἁμαρτία
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἀδικίας N1A-APF--- ἀδικία
σπανίσαι VA--AAN--- σπανίζω
καὶ C--------- καί
ἀπαλεῖψαι VA--AAN--- ἀλείφω ἀπο
τὰς RA--APF--- ὁ
ἀδικίας N1A-APF--- ἀδικία
καὶ C--------- καί
διανοηθῆναι VC--APN--- νοέομαι δια
τὸ RA--ASN--- ὁ
ὅραμα N3M-ASN--- ὅραμα
καὶ C--------- καί
δοθῆναι VC--APN--- δίδωμι
δικαιοσύνην N1--ASF--- δικαιοσύνη
αἰώνιον A1B-ASF--- αἰώνιος
καὶ C--------- καί
συντελεσθῆναι VS--APN--- τελέω συν
τὸ RA--ASN--- ὁ
ὅραμα N3M-ASN--- ὅραμα
καὶ C--------- καί
εὐφρᾶναι VA--AAN--- εὐφραίνω
ἅγιον A1A-ASN--- ἅγιος
ἁγίων A1A-GPN--- ἅγιος

Dan 9:25
καὶ C--------- καί
γνώσῃ VF--FMI2S- γιγνώσκω
καὶ C--------- καί
διανοηθήσῃ VC--FPI2S- νοέομαι δια
καὶ C--------- καί
εὐφρανθήσῃ VC--FPI2S- εὐφραίνω
καὶ C--------- καί
εὑρήσεις VF--FAI2S- εὑρίσκω
προστάγματα N3M-APN--- πρόσταγμα
ἀποκριθῆναι VC--APN--- κρίνω ἀπο
καὶ C--------- καί
οἰκοδομήσεις VF--FAI2S- οἰκοδομέω
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
πόλιν N3I-ASF--- πόλις
κυρίῳ N2--DSM--- κύριος

Dan 9:26
καὶ C--------- καί
μετὰ P--------- μετά
ἑπτὰ M--------- ἑπτά
καὶ C--------- καί
ἑβδομήκοντα M--------- ἑβδομήκοντα
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
δύο M--------- δύο
ἀποσταθήσεται VC--FPI3S- ἵστημι ἀπο
χρῖσμα N3M-NSN--- χρῖσμα
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
καὶ C--------- καί
βασιλεία N1A-NSF--- βασιλεία
ἐθνῶν N3E-GPN--- ἔθνος
φθερεῖ VF2-FAI3S- φθείρω
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
χριστοῦ A1--GSM--- χριστός
καὶ C--------- καί
ἥξει VF--FAI3S- ἥκω
ἡ RA--NSF--- ὁ
συντέλεια N1A-NSF--- συντέλεια
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
ὀργῆς N1--GSF--- ὀργή
καὶ C--------- καί
ἕως P--------- ἕως
καιροῦ N2--GSM--- καιρός
συντελείας N1A-GSF--- συντέλεια
ἀπὸ P--------- ἀπό
πολέμου N2--GSM--- πόλεμος
πολεμηθήσεται VC--FPI3S- πολεμέω

Dan 9:27
καὶ C--------- καί
δυναστεύσει VF--FAI3S- δυναστεύω
ἡ RA--NSF--- ὁ
διαθήκη N1--NSF--- διαθήκη
εἰς P--------- εἰς
πολλούς A1P-APM--- πολύς
καὶ C--------- καί
πάλιν D--------- πάλιν
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
καὶ C--------- καί
ἀνοικοδομηθήσεται VC--FPI3S- οἰκοδομέω ἀνα
εἰς P--------- εἰς
πλάτος N3E-ASN--- πλάτος
καὶ C--------- καί
μῆκος N3E-ASN--- μῆκος
καὶ C--------- καί
κατὰ P--------- κατά
συντέλειαν N1A-ASF--- συντέλεια
καιρῶν N2--GPM--- καιρός
καὶ C--------- καί
μετὰ P--------- μετά
ἑπτὰ M--------- ἑπτά
καὶ C--------- καί
ἑβδομήκοντα M--------- ἑβδομήκοντα
καιροὺς N2--APM--- καιρός
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
δύο M--------- δύο
ἔτη N3E-APN--- ἔτος
ἕως P--------- ἕως
καιροῦ N2--GSM--- καιρός
συντελείας N1A-GSF--- συντέλεια
πολέμου N2--GSM--- πόλεμος
καὶ C--------- καί
ἀφαιρεθήσεται VC--FPI3S- αἱρέω ἀπο
ἡ RA--NSF--- ὁ
ἐρήμωσις N3I-NSF--- ἐρήμωσις
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
κατισχῦσαι VA--AAN--- ἰσχύω κατα
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
ἐπὶ P--------- ἐπί
πολλὰς A1--APF--- πολύς
ἑβδομάδας N3D-APF--- ἑβδομάς
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τέλει N3E-DSN--- τέλος
τῆς RA--GSF--- ὁ
ἑβδομάδος N3D-GSF--- ἑβδομάς
ἀρθήσεται VC--FPI3S- αἴρω
ἡ RA--NSF--- ὁ
θυσία N1A-NSF--- θυσία
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σπονδή N1--NSF--- σπονδή
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἱερὸν A1A-ASN--- ἱερός
βδέλυγμα N3M-ASN--- βδέλυγμα
τῶν RA--GPF--- ὁ
ἐρημώσεων N3I-GPF--- ἐρήμωσις
ἔσται VF--FMI3S- εἰμί
ἕως P--------- ἕως
συντελείας N1A-GSF--- συντέλεια
καὶ C--------- καί
συντέλεια N1A-NSF--- συντέλεια
δοθήσεται VC--FPI3S- δίδωμι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ἐρήμωσιν N3I-ASF--- ἐρήμωσις

Dan 10:1
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἐνιαυτῷ N2--DSM--- ἐνιαυτός
τῷ RA--DSM--- ὁ
πρώτῳ A1--DSMS-- πρῶτος
Κύρου N2--GSM--- Κῦρος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
πρόσταγμα N3M-NSN--- πρόσταγμα
ἐδείχθη VCI-API3S- δεικνύω
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ὃς RR--NSM--- ὅς
ἐπεκλήθη VCI-API3S- καλέω ἐπι
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
Βαλτασαρ N---NSM--- Βαλτασαρ
καὶ C--------- καί
ἀληθὲς A3H-NSN--- ἀληθής
τὸ RA--NSN--- ὁ
ὅραμα N3M-NSN--- ὅραμα
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσταγμα N3M-NSN--- πρόσταγμα
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πλῆθος N3E-NSN--- πλῆθος
τὸ RA--NSN--- ὁ
ἰσχυρὸν A1A-NSN--- ἰσχυρός
διανοηθήσεται VC--FPI3S- νοέομαι δια
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα
καὶ C--------- καί
διενοήθην VCI-API1S- νοέομαι δια
αὐτὸ RD--ASN--- αὐτός
ἐν P--------- ἐν
ὁράματι N3M-DSN--- ὅραμα

Dan 10:2
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
ἤμην V9I-IMI1S- εἰμί
πενθῶν V2--PAPNSM πενθέω
τρεῖς A3--APF--- τρεῖς
ἑβδομάδας N3D-APF--- ἑβδομάς

Dan 10:3
ἄρτον N2--ASM--- ἄρτος
ἐπιθυμιῶν N1A-GPF--- ἐπιθυμία
οὐκ D--------- οὐ
ἔφαγον VBI-AAI1S- ἐσθίω
καὶ C--------- καί
κρέας N3--NSN--- κρέας
καὶ C--------- καί
οἶνος N2--NSM--- οἶνος
οὐκ D--------- οὐ
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
μου RP--GS---- ἐγώ
ἔλαιον N2N-ASN--- ἔλαιον
οὐκ D--------- οὐ
ἠλειψάμην VAI-AMI1S- ἀλείφω
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
συντελέσαι VA--AAN--- τελέω συν
με RP--AS---- ἐγώ
τὰς RA--APF--- ὁ
τρεῖς A3--APF--- τρεῖς
ἑβδομάδας N3D-APF--- ἑβδομάς
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα

Dan 10:4
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
τετάρτῃ A1--DSF--- τέταρτος
καὶ C--------- καί
εἰκάδι N3D-DSF--- εἰκάς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τοῦ RA--GSM--- ὁ
πρώτου A1--GSMS-- πρῶτος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἤμην V9I-IMI1S- εἰμί
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
χείλους N3E-GSN--- χεῖλος
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας
ὅς RR--NSM--- ὅς
ἐστι V9--PAI3S- εἰμί
Τίγρης N---NS---- Τίγρης

Dan 10:5
καὶ C--------- καί
ἦρα VAI-AAI1S- αἴρω
τοὺς RA--APM--- ὁ
ὀφθαλμούς N2--APM--- ὀφθαλμός
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἄνθρωπος N2--NSM--- ἄνθρωπος
εἷς A3--NSM--- εἷς
ἐνδεδυμένος VM--XPPNSM δύω ἐν
βύσσινα A1--APN--- βύσσινος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ὀσφὺν N3U-ASF--- ὀσφύς
περιεζωσμένος VS--PPPNSM ζώννυμι περι
βυσσίνῳ A1--DSM--- βύσσινος
καὶ C--------- καί
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
αὐτοῦ RD--GSM--- αὐτός
φῶς N3T-ASN--- φῶς

Dan 10:6
καὶ C--------- καί
τὸ RA--NSN--- ὁ
σῶμα N3M-NSN--- σῶμα
αὐτοῦ RD--GSM--- αὐτός
ὡσεὶ D--------- ὡσεί
θαρσις N---NS---- θαρσις
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσωπον N2N-NSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ὡσεὶ D--------- ὡσεί
ὅρασις N3I-NSF--- ὅρασις
ἀστραπῆς N1--GSF--- ἀστραπή
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ὀφθαλμοὶ N2--NPM--- ὀφθαλμός
αὐτοῦ RD--GSM--- αὐτός
ὡσεὶ D--------- ὡσεί
λαμπάδες N3D-NPF--- λαμπάς
πυρός N3--GSN--- πῦρ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βραχίονες N3N-NPM--- βραχίων
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πόδες N3D-NPM--- πούς
ὡσεὶ D--------- ὡσεί
χαλκὸς N2--NSM--- χαλκός
ἐξαστράπτων V1--PAPNSM ἀστράπτω ἐκ
καὶ C--------- καί
φωνὴ N1--NSF--- φωνή
λαλιᾶς N1A-GSF--- λαλιά
αὐτοῦ RD--GSM--- αὐτός
ὡσεὶ D--------- ὡσεί
φωνὴ N1--NSF--- φωνή
θορύβου N2--GSM--- θόρυβος

Dan 10:7
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
ἐγὼ RP--NS---- ἐγώ
Δανιηλ N---NSM--- Δανιηλ
τὴν RA--ASF--- ὁ
ὅρασιν N3I-ASF--- ὅρασις
τὴν RA--ASF--- ὁ
μεγάλην A1--ASF--- μέγας
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
οἱ RA--NPM--- ὁ
ὄντες V9--PAPNPM εἰμί
μετ' P--------- μετά
