Wis 1:1
ῥυήσεται VF--FMI3S- ῥυόμαι
ὡς C--------- ὡς
ὕδωρ N3--NSN--- ὕδωρ
ἄχρηστον A1B-NSN--- ἄχρηστος

Wis 17:1
μεγάλαι A1--NPF--- μέγας
γάρ X--------- γάρ
σου RP--GS---- σύ
αἱ RA--NPF--- ὁ
κρίσεις N3I-NPF--- κρίσις
καὶ C--------- καί
δυσδιήγητοι A1B-NPF--- δυσδιήγητος
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἀπαίδευτοι A1B-NPF--- ἀπαίδευτος
ψυχαὶ N1--NPF--- ψυχή
ἐπλανήθησαν VCI-API3P- πλανάω

Wis 17:2
ὑπειληφότες VX--XAPNPM λαμβάνω ὑπο
γὰρ X--------- γάρ
καταδυναστεύειν V1--PAN--- δυναστεύω κατα
ἔθνος N3E-ASN--- ἔθνος
ἅγιον A1A-ASN--- ἅγιος
ἄνομοι A1B-NPM--- ἄνομος
δέσμιοι A1B-NPM--- δέσμιος
σκότους N3E-GSN--- σκότος
καὶ C--------- καί
μακρᾶς A1A-GSF--- μακρός
πεδῆται N1M-NPM--- πεδήτης
νυκτὸς N3--GSF--- νύξ
κατακλεισθέντες VS--APPNPM κλείω κατα
ὀρόφοις N2--DPM--- ὄροφος
φυγάδες N3D-NPM--- φυγάς
τῆς RA--GSF--- ὁ
αἰωνίου A1B-GSF--- αἰώνιος
προνοίας N1A-GSF--- πρόνοια
ἔκειντο V5I-IMI3P- κεῖμαι

Wis 17:3
λανθάνειν V1--PAN--- λανθάνω
γὰρ X--------- γάρ
νομίζοντες V1--PAPNPM νομίζω
ἐπὶ P--------- ἐπί
κρυφαίοις A1A-DPN--- κρυφαῖος
ἁμαρτήμασιν N3M-DPN--- ἁμάρτημα
ἀφεγγεῖ A3H-DSN--- ἀφεγγής
λήθης N1--GSF--- λήθη
παρακαλύμματι N3M-DSN--- παρακάλυμμα
ἐσκορπίσθησαν VCI-API3P- σκορπίζω
θαμβούμενοι V2--PMPNPM θαμβέω
δεινῶς D--------- δεινῶς
καὶ C--------- καί
ἰνδάλμασιν N3M-DPM--- ἴνδαλμα
ἐκταρασσόμενοι V1--PMPNPM ταράσσω ἐκ

Wis 17:4
οὐδὲ C--------- οὐδέ
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
κατέχων V1--PAPNSM ἔχω κατα
αὐτοὺς RD--APM--- αὐτός
μυχὸς N2--NSM--- μυχός
ἀφόβους A1B-APM--- ἄφοβος
διεφύλαττεν V1I-IAI3S- φυλάσσω δια
ἦχοι N2--NPM--- ἦχος
δ' X--------- δέ
ἐκταράσσοντες V1--PAPNPM ταράσσω ἐκ
αὐτοὺς RD--APM--- αὐτός
περιεκόμπουν V2I-IAI3P- κομπέω περι
καὶ C--------- καί
φάσματα N3M-NPN--- φάσμα
ἀμειδήτοις A1B-DPN--- ἀμείδητος
κατηφῆ A3H-NPN--- κατηφής
προσώποις N2N-DPN--- πρόσωπον
ἐνεφανίζετο V1I-IMI3S- φανίζω ἐν

Wis 17:5
καὶ C--------- καί
πυρὸς N3--GSN--- πῦρ
μὲν X--------- μέν
οὐδεμία A1A-NSF--- οὐδείς
βία N1A-NSF--- βία
κατίσχυεν V1I-IAI3S- ἰσχύω κατα
φωτίζειν V1--PAN--- φωτίζω
οὔτε C--------- οὔτε
ἄστρων N2N-GPN--- ἄστρον
ἔκλαμπροι A1B-NPF--- ἔκλαμπρος
φλόγες N3G-NPF--- φλόξ
καταυγάζειν V1--PAN--- αὐγάζω κατα
ὑπέμενον V1I-IAI3P- μένω ὑπο
τὴν RA--ASF--- ὁ
στυγνὴν A1--ASF--- στυγνός
ἐκείνην RD--ASF--- ἐκεῖνος
νύκτα N3--ASF--- νύξ

Wis 17:6
διεφαίνετο V1I-IMI3S- φαίνω δια
δ' X--------- δέ
αὐτοῖς RD--DPM--- αὐτός
μόνον D--------- μόνον
αὐτομάτη A1--NSF--- αὐτόματος
πυρὰ N1A-NSF--- πυρά
φόβου N2--GSM--- φόβος
πλήρης A3H-NSF--- πλήρης
ἐκδειματούμενοι V4--PMPNPM δειματόω ἐκ
δὲ X--------- δέ
τῆς RA--GSF--- ὁ
μὴ D--------- μή
θεωρουμένης V2--PMPGSF θεωρέω
ἐκείνης RD--GSF--- ἐκεῖνος
ὄψεως N3I-GSF--- ὄψις
ἡγοῦντο V2--IMI3P- ἡγέομαι
χείρω A3C-APN--- χείρων
τὰ RA--APN--- ὁ
βλεπόμενα V1--PMPAPN βλέπω

Wis 17:7
μαγικῆς A1--GSF--- μαγικός
δὲ X--------- δέ
ἐμπαίγματα N3M-NPN--- ἔμπαιγμα
κατέκειτο V5I-IMI3S- κεῖμαι κατα
τέχνης N1--GSF--- τέχνη
καὶ C--------- καί
τῆς RA--GSF--- ὁ
ἐπὶ P--------- ἐπί
φρονήσει N3I-DSF--- φρόνησις
ἀλαζονείας N1A-GSF--- ἀλαζονεία
ἔλεγχος N2--NSM--- ἔλεγχος
ἐφύβριστος A1B-NSM--- ἐφύβριστος

Wis 17:8
οἱ RA--NPM--- ὁ
γὰρ X--------- γάρ
ὑπισχνούμενοι V2--PMPNPM ἰσχνέομαι ὑπο
δείματα N3M-APN--- δεῖμα
καὶ C--------- καί
ταραχὰς N1--APF--- ταραχή
ἀπελαύνειν V1--PAN--- ἐλαύνω ἀπο
ψυχῆς N1--GSF--- ψυχή
νοσούσης V2--PAPGSF νοσέω
οὗτοι RD--NPM--- οὗτος
καταγέλαστον A1B-ASF--- καταγέλαστος
εὐλάβειαν N1A-ASF--- εὐλάβεια
ἐνόσουν V2I-IAI3P- νοσέω

Wis 17:9
καὶ D--------- καί
γὰρ X--------- γάρ
εἰ C--------- εἰ
μηδὲν A3P-NSN--- μηδείς
αὐτοὺς RD--APM--- αὐτός
ταραχῶδες A3H-NSN--- ταραχώδης
ἐφόβει V2I-IAI3S- φοβέω
κνωδάλων N2N-GPN--- κνώδαλον
παρόδοις N2--DPF--- πάροδος
καὶ C--------- καί
ἑρπετῶν N2N-GPN--- ἑρπετόν
συριγμοῖς N2--DPM--- συρισμός
ἐκσεσοβημένοι VM--XMPNPM σοβέω ἐκ
διώλλυντο V5I-IMI3P- ὄλλυμι δια
ἔντρομοι A1B-NPM--- ἔντρομος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
μηδαμόθεν D--------- μηδαμόθεν
φευκτὸν A1--ASM--- φευκτός
ἀέρα N3--ASM--- ἀήρ
προσιδεῖν VB--AAN--- ὁράω προς
ἀρνούμενοι V2--PMPNPM ἀρνέομαι

Wis 17:10
δειλὸν A1--NSN--- δειλός
γὰρ X--------- γάρ
ἰδίῳ A1A-DSN--- ἴδιος
πονηρία N1A-NSF--- πονηρία
μάρτυρι N3--DSM--- μάρτυς
καταδικαζομένη V1--PMPNSF δικάζω κατα
ἀεὶ D--------- ἀεί
δὲ X--------- δέ
προσείληφεν VX--XAI3S- λαμβάνω προς
τὰ RA--APN--- ὁ
χαλεπὰ A1--APN--- χαλεπός
συνεχομένη V1--PMPNSF ἔχω συν
τῇ RA--DSF--- ὁ
συνειδήσει N3I-DSF--- συνείδησις

Wis 17:11
οὐθὲν A3--NSN--- οὐδείς
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
φόβος N2--NSM--- φόβος
εἰ C--------- εἰ
μὴ D--------- μή
προδοσία N1A-NSF--- προδοσία
τῶν RA--GPN--- ὁ
ἀπὸ P--------- ἀπό
λογισμοῦ N2--GSM--- λογισμός
βοηθημάτων N3M-GPN--- βοήθημα

Wis 17:12
ἔνδοθεν D--------- ἔνδοθεν
δὲ X--------- δέ
οὖσα V9--PAPNSF εἰμί
ἥττων A3C-NSF--- ἥσσων
ἡ RA--NSF--- ὁ
προσδοκία N1A-NSF--- προσδοκία
πλείονα A3C-ASFC-- πολύς
λογίζεται V1--PMI3S- λογίζομαι
τὴν RA--ASF--- ὁ
ἄγνοιαν N1A-ASF--- ἄγνοια
τῆς RA--GSF--- ὁ
παρεχούσης V1--PAPGSF ἔχω παρα
τὴν RA--ASF--- ὁ
βάσανον N2--ASF--- βάσανος
αἰτίας N1A-GSF--- αἰτία

Wis 17:13
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
τὴν RA--ASF--- ὁ
ἀδύνατον A1B-ASF--- ἀδύνατος
ὄντως D--------- ὄντως
νύκτα N3--ASF--- νύξ
καὶ C--------- καί
ἐξ P--------- ἐκ
ἀδυνάτου A1B-GSM--- ἀδύνατος
ᾅδου N1M-GSM--- ᾅδης
μυχῶν N2--GPM--- μυχός
ἐπελθοῦσαν VB--AAPASF ἔρχομαι ἐπι
τὸν RA--ASM--- ὁ
αὐτὸν RD--ASM--- αὐτός
ὕπνον N2--ASM--- ὕπνος
κοιμώμενοι V3--PMPNPM κοιμάω

Wis 17:14
τὰ RA--APN--- ὁ
μὲν X--------- μέν
τέρασιν N3T-DPN--- τέρας
ἠλαύνοντο V1I-IMI3P- ἐλαύνω
φαντασμάτων N3M-GPN--- φάντασμα
τὰ RA--APN--- ὁ
δὲ X--------- δέ
τῆς RA--GSF--- ὁ
ψυχῆς N1--GSF--- ψυχή
παρελύοντο V1I-IMI3P- λύω παρα
προδοσίᾳ N1A-DSF--- προδοσία
αἰφνίδιος A1B-NSM--- αἰφνίδιος
γὰρ X--------- γάρ
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἀπροσδόκητος A1B-NSM--- ἀπροσδόκητος
φόβος N2--NSM--- φόβος
ἐπεχύθη VCI-API3S- χέω ἐπι

Wis 17:15
εἶθ' I--------- εἶτα
οὕτως D--------- οὕτως
ὃς RR--NSM--- ὅς
δή X--------- δή
ποτ' D--------- ποτέ
οὖν X--------- οὖν
ἦν V9--IAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
καταπίπτων V1--PAPNSM πίπτω κατα
ἐφρουρεῖτο V2I-IMI3S- φρουρέω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἀσίδηρον A1B-ASF--- ἀσίδηρος
εἱρκτὴν N1--ASF--- εἱρκτή
κατακλεισθείς VS--APPNSM κλείω κατα

Wis 17:16
εἴ C--------- εἰ
τε X--------- τε
γὰρ X--------- γάρ
γεωργὸς N2--NSM--- γεωργός
ἦν V9--IAI3S- εἰμί
τις RI--NSM--- τις
ἢ C--------- ἤ
ποιμὴν N3--NSM--- ποιμήν
ἢ C--------- ἤ
τῶν RA--GPM--- ὁ
κατ' P--------- κατά
ἐρημίαν N1A-ASF--- ἐρημία
ἐργάτης N1M-NSM--- ἐργάτης
μόχθων N2--GPM--- μόχθος
προλημφθεὶς VV--APPNSM λαμβάνω προ
τὴν RA--ASF--- ὁ
δυσάλυκτον A1B-ASF--- δυσάληκτος
ἔμενεν V1I-IAI3S- μένω
ἀνάγκην N1--ASF--- ἀνάγκη
μιᾷ A1A-DSF--- εἷς
γὰρ X--------- γάρ
ἁλύσει N3I-DSF--- ἅλυσις
σκότους N3E-GSN--- σκότος
πάντες A3--NPM--- πᾶς
ἐδέθησαν VCI-API3P- δέω

Wis 17:17
εἴ C--------- εἰ
τε X--------- τε
πνεῦμα N3M-NSN--- πνεῦμα
συρίζον V1--PAPNSN συρίζω
ἢ C--------- ἤ
περὶ P--------- περί
ἀμφιλαφεῖς A3H-APM--- ἀμφιλαφής
κλάδους N2--APM--- κλάδος
ὀρνέων N3I-GPM--- ὄρνις
ἦχος N2--NSM--- ἦχος
εὐμελὴς A3H-NSM--- εὐμελής
ἢ C--------- ἤ
ῥυθμὸς N2--NSM--- ῥυθμός
ὕδατος N3T-GSN--- ὕδωρ
πορευομένου V1--PMPGSN πορεύομαι
βίᾳ N1A-DSF--- βία
ἢ C--------- ἤ
κτύπος N2--NSM--- κτύπος
ἀπηνὴς A3H-NSM--- ἀπηνής
καταρριπτομένων V1--PMPGPM ῥίπτω κατα
πετρῶν N2--GPM--- πέτρος

Wis 17:18
ἢ C--------- ἤ
σκιρτώντων V3--PAPGPN σκιρτάω
ζῴων N2--GPN--- ζῷον
δρόμος N2--NSM--- δρόμος
ἀθεώρητος A1B-NSM--- ἀθεώρητος
ἢ C--------- ἤ
ὠρυομένων V1--PMPGPN ὠρύομαι
ἀπηνεστάτων A3H-GPNS-- ἀπηνής
θηρίων N2N-GPN--- θηρίον
φωνὴ N1--NSF--- φωνή
ἢ C--------- ἤ
ἀντανακλωμένη V3--PAPNSF κλάω ἀντι ἀνα
ἐκ P--------- ἐκ
κοιλότητος N3T-GSF--- κοιλότης
ὀρέων N3E-GPN--- ὄρος
ἠχώ N3--NSF--- ἠχώ
παρέλυεν V1I-IAI3S- λύω παρα
αὐτοὺς RD--APM--- αὐτός
ἐκφοβοῦντα V2--PAPAPN φοβέω ἐκ

Wis 17:19
ὅλος A1--NSM--- ὅλος
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
κόσμος N2--NSM--- κόσμος
λαμπρῷ A1A-DSN--- λαμπρός
κατελάμπετο V1I-IMI3S- λάμπω κατα
φωτὶ N3T-DSN--- φῶς
καὶ C--------- καί
ἀνεμποδίστοις A1B-DPN--- ἀνεμπόδιστος
συνείχετο V1I-IMI3S- ἔχω συν
ἔργοις N2N-DPN--- ἔργον

Wis 17:20
μόνοις A1--DPM--- μόνος
δὲ X--------- δέ
ἐκείνοις RD--DPM--- ἐκεῖνος
ἐπετέτατο VMI-YMI3S- τείνω ἐπι
βαρεῖα A3U-NSF--- βαρύς
νὺξ N3--NSF--- νύξ
εἰκὼν N3N-NSF--- εἰκών
τοῦ RA--GSN--- ὁ
μέλλοντος V1--PAPGSN μέλλω
αὐτοὺς RD--APM--- αὐτός
διαδέχεσθαι V1--PMN--- δέχομαι δια
σκότους N3E-GSN--- σκότος
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
δὲ X--------- δέ
ἦσαν V9--IAI3P- εἰμί
βαρύτεροι A1A-NPMC-- βαρύς
σκότους N3E-GSN--- σκότος

Wis 18:1
τοῖς RA--DPM--- ὁ
δὲ X--------- δέ
ὁσίοις A1A-DPM--- ὅσιος
σου RP--GS---- σύ
μέγιστον A1--NSNS-- μέγας
ἦν V9--IAI3S- εἰμί
φῶς N3T-NSN--- φῶς
ὧν RR--GPM--- ὅς
φωνὴν N1--ASF--- φωνή
μὲν X--------- μέν
ἀκούοντες V1--PAPNPM ἀκούω
μορφὴν N1--ASF--- μορφή
δὲ X--------- δέ
οὐχ D--------- οὐ
ὁρῶντες V3--PAPNPM ὁράω
ὅτι C--------- ὅτι
μὲν X--------- μέν
οὐ D--------- οὐ
κἀκεῖνοι C+RDNPM--- καί+ἐκεῖνος
ἐπεπόνθεισαν VXI-YAI3P- πάσχω
ἐμακάριζον V1I-IAI3P- μακαρίζω

Wis 18:2
ὅτι C--------- ὅτι
δ' X--------- δέ
οὐ D--------- οὐ
βλάπτουσιν V1--PAI3P- βλάπτω
προηδικημένοι VM--XMPNPM ἀδικέω προ
ηὐχαρίστουν V2I-IAI3P- εὐχαριστέω
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
διενεχθῆναι VQ--APN--- φέρω δια
χάριν N3--ASF--- χάρις
ἐδέοντο V2I-IMI3P- δέω

Wis 18:3
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
πυριφλεγῆ A3H-ASM--- πυριφλεγής
στῦλον N2--ASM--- στῦλος
ὁδηγὸν N2--ASM--- ὁδηγός
μὲν X--------- μέν
ἀγνώστου A1B-GSF--- ἄγνωστος
ὁδοιπορίας N1A-GSF--- ὁδοιπορία
ἥλιον N2--ASM--- ἥλιος
δὲ X--------- δέ
ἀβλαβῆ A3H-ASM--- ἀβλαβής
φιλοτίμου A1B-GSF--- φιλότιμος
ξενιτείας N1A-GSF--- ξενιτεία
παρέσχες VBI-AAI2S- ἔχω παρα

Wis 18:4
ἄξιοι A1A-NPM--- ἄξιος
μὲν X--------- μέν
γὰρ X--------- γάρ
ἐκεῖνοι RD--NPM--- ἐκεῖνος
στερηθῆναι VC--APN--- στερέω
φωτὸς N3T-GSN--- φῶς
καὶ C--------- καί
φυλακισθῆναι VS--APN--- φυλακίζομαι
σκότει N3E-DSN--- σκότος
οἱ RA--NPM--- ὁ
κατακλείστους A1B-APM--- κατάκλειστος
φυλάξαντες VA--AAPNPM φυλάσσω
τοὺς RA--APM--- ὁ
υἱούς N2--APM--- υἱός
σου RP--GS---- σύ
δι' P--------- διά
ὧν RR--GPM--- ὅς
ἤμελλεν V1I-IAI3S- μέλλω
τὸ RA--NSN--- ὁ
ἄφθαρτον A1B-NSN--- ἄφθαρτος
νόμου N2--GSM--- νόμος
φῶς N3T-ASN--- φῶς
τῷ RA--DSM--- ὁ
αἰῶνι N3W-DSM--- αἰών
δίδοσθαι V8--PMN--- δίδωμι

Wis 18:5
βουλευσαμένους VA--AMPAPM βουλεύω
δ' X--------- δέ
αὐτοὺς RD--APM--- αὐτός
τὰ RA--APN--- ὁ
τῶν RA--GPM--- ὁ
ὁσίων A1A-GPM--- ὅσιος
ἀποκτεῖναι VA--AAN--- κτείνω ἀπο
νήπια A1A-APN--- νήπιος
καὶ C--------- καί
ἑνὸς A3--GSN--- εἷς
ἐκτεθέντος VC--APPGSN τίθημι ἐκ
τέκνου N2N-GSN--- τέκνον
καὶ C--------- καί
σωθέντος VC--APPGSN σώζω
εἰς P--------- εἰς
ἔλεγχον N2--ASM--- ἔλεγχος
τὸ RA--ASN--- ὁ
αὐτῶν RD--GPM--- αὐτός
ἀφείλω VBI-AMI2S- αἱρέω ἀπο
πλῆθος N3E-ASN--- πλῆθος
τέκνων N2N-GPN--- τέκνον
καὶ C--------- καί
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
ἀπώλεσας VAI-AAI2S- ὀλλύω ἀπο
ἐν P--------- ἐν
ὕδατι N3T-DSN--- ὕδωρ
σφοδρῷ A1A-DSN--- σφοδρός

Wis 18:6
ἐκείνη RD--NSF--- ἐκεῖνος
ἡ RA--NSF--- ὁ
νὺξ N3--NSF--- νύξ
προεγνώσθη VSI-API3S- γιγνώσκω προ
πατράσιν N3--DPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἵνα C--------- ἵνα
ἀσφαλῶς D--------- ἀσφαλῶς
εἰδότες VX--XAPNPM οἶδα
οἷς RR--DPM--- ὅς
ἐπίστευσαν VAI-AAI3P- πιστεύω
ὅρκοις N2--DPM--- ὅρκος
ἐπευθυμήσωσιν VA--AAS3P- εὐθυμέω ἐπι

Wis 18:7
προσεδέχθη VQI-API3S- δέχομαι προς
ὑπὸ P--------- ὑπό
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
σωτηρία N1A-NSF--- σωτηρία
μὲν X--------- μέν
δικαίων A1A-GPM--- δίκαιος
ἐχθρῶν A1A-GPM--- ἐχθρός
δὲ X--------- δέ
ἀπώλεια N1A-NSF--- ἀπώλεια

Wis 18:8
ᾧ RR--DSM--- ὅς
γὰρ X--------- γάρ
ἐτιμωρήσω VAI-AMI2S- τιμωρέω
τοὺς RA--APM--- ὁ
ὑπεναντίους A1A-APM--- ὑπεναντίος
τούτῳ RD--DSN--- οὗτος
ἡμᾶς RP--AP---- ἐγώ
προσκαλεσάμενος VA--AMPNSM καλέω προς
ἐδόξασας VAI-AAI2S- δοξάζω

Wis 18:9
κρυφῇ D--------- κρυφῇ
γὰρ X--------- γάρ
ἐθυσίαζον V1I-IAI3P- θυσιάζω
ὅσιοι A1A-NPM--- ὅσιος
παῖδες N3D-NPM--- παῖς
ἀγαθῶν A1--GPM--- ἀγαθός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
τῆς RA--GSF--- ὁ
θειότητος N3T-GSF--- θειότης
νόμον N2--ASM--- νόμος
ἐν P--------- ἐν
ὁμονοίᾳ N1A-DSF--- ὁμόνοια
διέθεντο VEI-AMI3P- τίθημι δια
τῶν RA--GPM--- ὁ
αὐτῶν RD--GPM--- αὐτός
ὁμοίως D--------- ὁμοίως
καὶ C--------- καί
ἀγαθῶν A1--GPM--- ἀγαθός
καὶ C--------- καί
κινδύνων N2--GPM--- κίνδυνος
μεταλήμψεσθαι VF--FMN--- λαμβάνω μετα
τοὺς RA--APM--- ὁ
ἁγίους A1A-APM--- ἅγιος
πατέρων N3--GPM--- πατήρ
ἤδη D--------- ἤδη
προαναμέλποντες V1--PAPNPM μέλπω προ ἀνα
αἴνους N2--APM--- αἶνος

Wis 18:10
ἀντήχει V2--IAI3S- ἠχέω ἀντι
δ' X--------- δέ
ἀσύμφωνος A1B-NSF--- ἀσύμφωνος
ἐχθρῶν A1A-GPM--- ἐχθρός
ἡ RA--NSF--- ὁ
βοή N1--NSF--- βοή
καὶ C--------- καί
οἰκτρὰ A1A-NSF--- οἰκτρός
διεφέρετο V1I-IMI3S- φέρω δια
φωνὴ N1--NSF--- φωνή
θρηνουμένων V2--PMPGPM θρηνέω
παίδων N3D-GPM--- παῖς

Wis 18:11
ὁμοίᾳ A1A-DSF--- ὅμοιος
δὲ X--------- δέ
δίκῃ N1--DSF--- δίκη
δοῦλος N2--NSM--- δοῦλος
ἅμα D--------- ἅμα
δεσπότῃ N1M-DSM--- δεσπότης
κολασθεὶς VS--APPNSM κολάζω
καὶ C--------- καί
δημότης N1M-NSM--- δημότης
βασιλεῖ N3V-DSM--- βασιλεύς
τὰ RA--APN--- ὁ
αὐτὰ RD--APN--- αὐτός
πάσχων V1--PAPNSM πάσχω

Wis 18:12
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
δὲ X--------- δέ
πάντες A3--NPM--- πᾶς
ἐν P--------- ἐν
ἑνὶ A3--DSN--- εἷς
ὀνόματι N3M-DSN--- ὄνομα
θανάτου N2--GSM--- θάνατος
νεκροὺς N2--APM--- νεκρός
εἶχον V1I-IAI3P- ἔχω
ἀναριθμήτους A1B-APM--- ἀναρίθμητος
οὐδὲ C--------- οὐδέ
γὰρ X--------- γάρ
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
θάψαι VA--AAN--- θάπτω
οἱ RA--NPM--- ὁ
ζῶντες V3--PAPNPM ζάω
ἦσαν V9--IAI3P- εἰμί
ἱκανοί A1--NPM--- ἱκανός
ἐπεὶ C--------- ἐπεί
πρὸς P--------- πρός
μίαν A1A-ASF--- εἷς
ῥοπὴν N1--ASF--- ῥοπή
ἡ RA--NSF--- ὁ
ἐντιμοτέρα A1B-NSF--- ἔντιμος
γένεσις N3I-NSF--- γένεσις
αὐτῶν RD--GPM--- αὐτός
διέφθαρτο VPI-YMI3S- φθείρω δια

Wis 18:13
πάντα A3--APN--- πᾶς
γὰρ X--------- γάρ
ἀπιστοῦντες V2--PAPNPM ἀπιστέω
διὰ P--------- διά
τὰς RA--APF--- ὁ
φαρμακείας N1A-APF--- φαρμακία
ἐπὶ P--------- ἐπί
τῷ RA--DSM--- ὁ
τῶν RA--GPN--- ὁ
πρωτοτόκων A1B-GPN--- πρωτότοκος
