Jdt 1:1
διαφαύσῃ VA--AAS3S- φαύσκω δια
ὁ RA--NSM--- ὁ
ὄρθρος N2--NSM--- ὄρθρος
καὶ C--------- καί
ἐξέλθῃ VB--AAS3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἀναλήμψεσθε VF--FMI2P- λαμβάνω ἀνα
ἕκαστος A1--NSM--- ἕκαστος
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
τὰ RA--APN--- ὁ
πολεμικὰ A1--APN--- πολεμικός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐξελεύσεσθε VF--FMI2P- ἔρχομαι ἐκ
πᾶς A3--NSM--- πᾶς
ἀνὴρ N3--NSM--- ἀνήρ
ἰσχύων N3U-GPF--- ἰσχύς
ἔξω P--------- ἔξω
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
δώσετε VF--FAI2P- δίδωμι
ἀρχηγὸν N2--ASM--- ἀρχηγός
εἰς P--------- εἰς
αὐτοὺς RD--APM--- αὐτός
ὡς C--------- ὡς
καταβαίνοντες V1--PAPNPM βαίνω κατα
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
προφυλακὴν N1--ASF--- προφυλακή
υἱῶν N2--GPM--- υἱός
Ασσουρ N---GSM--- Ασσουρ
καὶ C--------- καί
οὐ D--------- οὐ
καταβήσεσθε VF--FMI2P- βαίνω κατα

Jdt 14:3
καὶ C--------- καί
ἀναλαβόντες VB--AAPNPM λαμβάνω ἀνα
οὗτοι RD--NPM--- οὗτος
τὰς RA--APF--- ὁ
πανοπλίας N1A-APF--- πανοπλία
αὐτῶν RD--GPM--- αὐτός
πορεύσονται VF--FMI3P- πορεύομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐγεροῦσι VF--FMI3P- ἐγείρω
τοὺς RA--APM--- ὁ
στρατηγοὺς N2--APM--- στρατηγός
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
Ασσουρ N---GSM--- Ασσουρ
καὶ C--------- καί
συνδραμοῦνται VF2-FMI3P- τρέχω συν
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
σκηνὴν N1--ASF--- σκηνή
Ολοφέρνου N1M-GSM--- Ολοφέρνης
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρήσουσιν VF--FAI3P- εὑρίσκω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἐπιπεσεῖται VF2-FMI3S- πίπτω ἐπι
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
φόβος N2--NSM--- φόβος
καὶ C--------- καί
φεύξονται VF--FMI3P- φεύγω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ

Jdt 14:4
καὶ C--------- καί
ἐπακολουθήσαντες VA--AAPNPM ἀκολουθέω ἐπι
ὑμεῖς RP--NP---- σύ
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
πᾶν A3--ASN--- πᾶς
ὅριον N2N-ASN--- ὅριον
Ισραηλ N---GSM--- Ἰσραήλ
καταστρώσατε VA--AAD2P- στρώννυμι κατα
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
αὐτῶν RD--GPM--- αὐτός

Jdt 14:5
πρὸ P--------- πρό
δὲ X--------- δέ
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
ταῦτα RD--APN--- οὗτος
καλέσατέ VA--AAD2P- καλέω
μοι RP--DS---- ἐγώ
Αχιωρ N---ASM--- Αχιωρ
τὸν RA--ASM--- ὁ
Αμμανίτην N1M-ASM--- Αμμανίτης
ἵνα C--------- ἵνα
ἰδὼν VB--AAPNSM ὁράω
ἐπιγνοῖ VZ--AAS3S- γιγνώσκω ἐπι
τὸν RA--ASM--- ὁ
ἐκφαυλίσαντα VA--AAPASM φαυλίζω ἐκ
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
αὐτὸν RD--ASM--- αὐτός
ὡς C--------- ὡς
εἰς P--------- εἰς
θάνατον N2--ASM--- θάνατος
ἀποστείλαντα VA--AAPASM στέλλω ἀπο
εἰς P--------- εἰς
ἡμᾶς RP--AP---- ἐγώ

Jdt 14:6
καὶ C--------- καί
ἐκάλεσαν VAI-AAI3P- καλέω
τὸν RA--ASM--- ὁ
Αχιωρ N---ASM--- Αχιωρ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
Οζια N---GSM--- Οζιας
ὡς C--------- ὡς
δὲ X--------- δέ
ἦλθεν VBI-AAI3S- ἔρχομαι
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
Ολοφέρνου N1M-GSM--- Ολοφέρνης
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
ἀνδρὸς N3--GSM--- ἀνήρ
ἑνὸς A3--GSM--- εἷς
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐκκλησίᾳ N1A-DSF--- ἐκκλησία
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
ἔπεσεν VAI-AAI3S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
καὶ C--------- καί
ἐξελύθη VCI-API3S- λύω ἐκ
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
αὐτοῦ RD--GSM--- αὐτός

Jdt 14:7
ὡς C--------- ὡς
δὲ X--------- δέ
ἀνέλαβον VBI-AAI3P- λαμβάνω ἀνα
αὐτόν RD--ASM--- αὐτός
προσέπεσεν VAI-AAI3S- πίπτω προς
τοῖς RA--DPM--- ὁ
ποσὶν N3D-DPM--- πούς
Ιουδιθ N---GSF--- Ἰουδίθ
καὶ C--------- καί
προσεκύνησεν VAI-AAI3S- κυνέω προς
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εὐλογημένη VM--XMPNSF εὐλογέω
σὺ RP--NS---- σύ
ἐν P--------- ἐν
παντὶ A3--DSN--- πᾶς
σκηνώματι N3M-DSN--- σκήνωμα
Ιουδα N---GSM--- Ἰουδά
καὶ C--------- καί
ἐν P--------- ἐν
παντὶ A3--DSN--- πᾶς
ἔθνει N3E-DSN--- ἔθνος
οἵτινες RX--NPM--- ὅστις
ἀκούσαντες VA--AAPNPM ἀκούω
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
ταραχθήσονται VQ--FPI3P- ταράσσω

Jdt 14:8
καὶ C--------- καί
νῦν D--------- νῦν
ἀνάγγειλόν VA--AAD2S- ἀγγέλλω ἀνα
μοι RP--DS---- ἐγώ
ὅσα A1--APN--- ὅσος
ἐποίησας VAI-AAI2S- ποιέω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ταύταις RD--DPF--- οὗτος
καὶ C--------- καί
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
αὐτῷ RD--DSM--- αὐτός
Ιουδιθ N---NSF--- Ἰουδίθ
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
πάντα A3--APN--- πᾶς
ὅσα A1--NPN--- ὅσος
ἦν V9--IAI3S- εἰμί
πεποιηκυῖα VX--XAPNPN ποιέω
ἀφ' P--------- ἀπό
ἧς RR--GSF--- ὅς
ἡμέρας N1A-GSF--- ἡμέρα
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἕως P--------- ἕως
οὗ RR--GSF--- ὅς
ἐλάλει V2I-IAI3S- λαλέω
αὐτοῖς RD--DPM--- αὐτός

Jdt 14:9
ὡς C--------- ὡς
δὲ X--------- δέ
ἐπαύσατο VAI-AMI3S- παύω
λαλοῦσα V2--PAPNSF λαλέω
ἠλάλαξεν VAI-AAI3S- ἀλαλάζω
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
φωνὴν N1--ASF--- φωνή
εὐφρόσυνον A1B-ASF--- εὐφρόσυνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
αὐτῶν RD--GPM--- αὐτός

Jdt 14:10
ἰδὼν VB--AAPNSM ὁράω
δὲ X--------- δέ
Αχιωρ N---NSM--- Αχιωρ
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἐπίστευσεν VAI-AAI3S- πιστεύω
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
σφόδρα D--------- σφόδρα
καὶ C--------- καί
περιετέμετο VBI-AMI3S- τέμνω περι
τὴν RA--ASF--- ὁ
σάρκα N3K-ASF--- σάρξ
τῆς RA--GSF--- ὁ
ἀκροβυστίας N1A-GSF--- ἀκροβυστία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
προσετέθη VCI-API3S- τίθημι προς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος

Jdt 14:11
ἡνίκα D--------- ἡνίκα
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
ὄρθρος N2--NSM--- ὄρθρος
ἀνέβη VZI-AAI3S- βαίνω ἀνα
καὶ C--------- καί
ἐκρέμασαν VAI-AAI3P- κρεμάζω
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
Ολοφέρνου N1M-GSM--- Ολοφέρνης
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
τείχους N3E-GSN--- τεῖχος
καὶ C--------- καί
ἀνέλαβεν VBI-AAI3S- λαμβάνω ἀνα
πᾶς A3--NSM--- πᾶς
ἀνὴρ N3--NSM--- ἀνήρ
τὰ RA--APN--- ὁ
ὅπλα N2N-APN--- ὅπλον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξήλθοσαν VBI-AAI3P- ἔρχομαι ἐκ
κατὰ P--------- κατά
σπείρας N1A-APF--- σπεῖρα
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
ἀναβάσεις N3I-APF--- ἀνάβασις
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος

Jdt 14:12
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
υἱοὶ N2--NPM--- υἱός
Ασσουρ N---GSM--- Ασσουρ
ὡς C--------- ὡς
εἶδον VBI-AAI3P- ὁράω
αὐτούς RD--APM--- αὐτός
διέπεμψαν VAI-AAI3P- πέμπω δια
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἡγουμένους V2--PMPAPM ἡγέομαι
αὐτῶν RD--GPM--- αὐτός
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἦλθον VBI-AAI3P- ἔρχομαι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
στρατηγοὺς N2--APM--- στρατηγός
καὶ C--------- καί
χιλιάρχους N2--APM--- χιλίαρχος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντα A3--ASM--- πᾶς
ἄρχοντα N3--ASM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός

Jdt 14:13
καὶ C--------- καί
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
σκηνὴν N1--ASF--- σκηνή
Ολοφέρνου N1M-GSM--- Ολοφέρνης
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
τῷ RA--DSM--- ὁ
ὄντι V9--PAPDSM εἰμί
ἐπὶ P--------- ἐπί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
αὐτοῦ RD--GSM--- αὐτός
ἔγειρον VA--AAD2S- ἐγείρω
δὴ X--------- δή
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
ἐτόλμησαν VAI-AAI3P- τολμάω
οἱ RA--NPM--- ὁ
δοῦλοι N2--NPM--- δοῦλος
καταβαίνειν V1--PAN--- βαίνω κατα
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
ἵνα C--------- ἵνα
ἐξολεθρευθῶσιν VC--APS3P- ὀλεθρεύω ἐκ
εἰς P--------- εἰς
τέλος N3E-ASN--- τέλος

Jdt 14:14
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Βαγώας N1T-NSM--- Βαγώας
καὶ C--------- καί
ἔκρουσε VAI-AAI3S- κρούω
τὴν RA--ASF--- ὁ
αὐλαίαν N1A-ASF--- αὐλαία
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
ὑπενόει V2I-IAI3S- νοέω ὑπο
γὰρ X--------- γάρ
καθεύδειν V1--PAN--- εὕδω κατα
αὐτὸν RD--ASM--- αὐτός
μετὰ P--------- μετά
Ιουδιθ N---GSF--- Ἰουδίθ

Jdt 14:15
ὡς C--------- ὡς
δ' X--------- δέ
οὐθεὶς A3N-NSM--- οὐδείς
ἐπήκουσεν VAI-AAI3S- ἀκούω ἐπι
διαστείλας VA--AAPNSM στέλλω δια
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
κοιτῶνα N3W-ASM--- κοιτών
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
αὐτὸν RD--ASM--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
χελωνίδος N3D-GSF--- χελώνις
ἐρριμμένον VP--XPPASM ῥίπτω
νεκρόν N2--ASM--- νεκρός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κεφαλὴ N1--NSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
ἀφῄρητο VM--YMI3S- αἱρέω ἀπο
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

Jdt 14:16
καὶ C--------- καί
ἐβόησεν VAI-AAI3S- βοάω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
μετὰ P--------- μετά
κλαυθμοῦ N2--GSM--- κλαυθμός
καὶ C--------- καί
στεναγμοῦ N2--GSM--- στεναγμός
καὶ C--------- καί
βοῆς N1--GSF--- βοή
ἰσχυρᾶς A1A-GSF--- ἰσχυρός
καὶ C--------- καί
διέρρηξεν VAI-AAI3S- ῥήγνυμι δια
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
αὐτοῦ RD--GSM--- αὐτός

Jdt 14:17
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
σκηνήν N1--ASF--- σκηνή
οὗ D--------- οὗ
ἦν V9--IAI3S- εἰμί
Ιουδιθ N---NSF--- Ἰουδίθ
καταλύουσα V1--PAPNSF λύω κατα
καὶ C--------- καί
οὐχ D--------- οὐ
εὗρεν VB--AAI3S- εὑρίσκω
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
ἐξεπήδησεν VAI-AAI3S- πηδάω ἐκ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
καὶ C--------- καί
ἐβόησεν VAI-AAI3S- βοάω

Jdt 14:18
ἠθέτησαν VAI-AAI3P- ἀθετέω
οἱ RA--NPM--- ὁ
δοῦλοι N2--NPM--- δοῦλος
ἐποίησεν VAI-AAI3S- ποιέω
αἰσχύνην N1--ASF--- αἰσχύνη
μία A1A-NSF--- εἷς
γυνὴ N3K-NSF--- γυνή
τῶν RA--GPM--- ὁ
Εβραίων N2--GPM--- Εβραίος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
ὅτι C--------- ὅτι
ἰδοὺ I--------- ἰδού
Ολοφέρνης N1M-NSM--- Ολοφέρνης
χαμαί D--------- χαμαί
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κεφαλὴ N1--NSF--- κεφαλή
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός

Jdt 14:19
ὡς C--------- ὡς
δὲ X--------- δέ
ἤκουσαν VAI-AAI3P- ἀκούω
ταῦτα RD--APN--- οὗτος
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
Ασσουρ N---GSM--- Ασσουρ
τοὺς RA--APM--- ὁ
χιτῶνας N3W-APM--- χιτών
αὐτῶν RD--GPM--- αὐτός
διέρρηξαν VAI-AAI3P- ῥήγνυμι δια
καὶ C--------- καί
ἐταράχθη VQI-API3S- ταράσσω
αὐτῶν RD--GPM--- αὐτός
ἡ RA--NSF--- ὁ
ψυχὴ N1--NSF--- ψυχή
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
αὐτῶν RD--GPM--- αὐτός
κραυγὴ N1--NSF--- κραυγή
καὶ C--------- καί
βοὴ N1--NSF--- βοή
μεγάλη A1--NSF--- μέγας
σφόδρα D--------- σφόδρα
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή

Jdt 15:1
καὶ C--------- καί
ὡς C--------- ὡς
ἤκουσαν VAI-AAI3P- ἀκούω
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
σκηνώμασιν N3M-DPN--- σκήνωμα
ὄντες V9--PAPNPM εἰμί
ἐξέστησαν VHI-AAI3P- ἵστημι ἐκ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
γεγονός VX--XAPASN γίγνομαι

Jdt 15:2
καὶ C--------- καί
ἐπέπεσεν VAI-AAI3S- πίπτω ἐπι
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
τρόμος N2--NSM--- τρόμος
καὶ C--------- καί
φόβος N2--NSM--- φόβος
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἄνθρωπος N2--NSM--- ἄνθρωπος
μένων V1--PAPNSM μένω
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
πλησίον D--------- πλησίον
ἔτι D--------- ἔτι
ἀλλ' C--------- ἀλλά
ἐκχυθέντες VC--APPNPM χέω ἐκ
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
ἔφευγον V1I-IAI3P- φεύγω
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
ὁδὸν N2--ASF--- ὁδός
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον
καὶ C--------- καί
τῆς RA--GSF--- ὁ
ὀρεινῆς N1--GSF--- ὀρεινή

Jdt 15:3
καὶ C--------- καί
οἱ RA--NPM--- ὁ
παρεμβεβληκότες VX--XAPNPM βάλλω παρα ἐν
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὀρεινῇ N1--DSF--- ὀρεινή
κύκλῳ N2--DSM--- κύκλος
Βαιτυλουα N---GSF--- Βαιτυλουα
καὶ C--------- καί
ἐτράπησαν VDI-API3P- τρέπω
εἰς P--------- εἰς
φυγήν N1--ASF--- φυγή
καὶ C--------- καί
τότε D--------- τότε
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
πᾶς A3--NSM--- πᾶς
ἀνὴρ N3--NSM--- ἀνήρ
πολεμιστὴς N1M-NSM--- πολεμιστής
ἐξ P--------- ἐκ
αὐτῶν RD--GPM--- αὐτός
ἐξεχύθησαν VCI-API3P- χέω ἐκ
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός

Jdt 15:4
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Οζιας N1T-NSM--- Οζιας
εἰς P--------- εἰς
Βαιτομασθαιμ N---AS---- Βαιτομασθαιμ
καὶ C--------- καί
Βηβαι N---AS---- Βηβαι
καὶ C--------- καί
Χωβαι N---AS---- Χωβαι
καὶ C--------- καί
Κωλα N---AS---- Κωλα
καὶ C--------- καί
εἰς P--------- εἰς
πᾶν A3--ASN--- πᾶς
ὅριον N2N-ASN--- ὅριον
Ισραηλ N---GSM--- Ἰσραήλ
τοὺς RA--APM--- ὁ
ἀπαγγέλλοντας V1--PAPAPM ἀγγέλλω ἀπο
ὑπὲρ P--------- ὑπέρ
τῶν RA--GPN--- ὁ
συντετελεσμένων VM--XMPGPN τελέω συν
καὶ C--------- καί
ἵνα C--------- ἵνα
πάντες A3--NPM--- πᾶς
ἐπεκχυθῶσιν VC--APS3P- χέω ἐπι ἐκ
τοῖς RA--DPM--- ὁ
πολεμίοις A1A-DPM--- πολέμιος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἀναίρεσιν N3I-ASF--- ἀναίρεσις
αὐτῶν RD--GPM--- αὐτός

Jdt 15:5
ὡς C--------- ὡς
δὲ X--------- δέ
ἤκουσαν VAI-AAI3P- ἀκούω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
πάντες A3--NPM--- πᾶς
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
ἐπέπεσον VBI-AAI3P- πίπτω ἐπι
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
ἔκοπτον V1I-IAI3P- κόπτω
αὐτοὺς RD--APM--- αὐτός
ἕως P--------- ἕως
Χωβα N---GS---- Χωβα
ὡσαύτως D--------- ὡσαύτως
δὲ X--------- δέ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐξ P--------- ἐκ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
παρεγενήθησαν VCI-API3P- γίγνομαι παρα
καὶ C--------- καί
ἐκ P--------- ἐκ
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
ὀρεινῆς N1--GSF--- ὀρεινή
ἀνήγγειλαν VAI-AAI3P- ἀγγέλλω ἀνα
γὰρ X--------- γάρ
αὐτοῖς RD--DPM--- αὐτός
τὰ RA--APN--- ὁ
γεγονότα VX--XAPAPN γίγνομαι
τῇ RA--DSF--- ὁ
παρεμβολῇ N1--DSF--- παρεμβολή
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
Γαλααδ N---DS---- Γαλαάδ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
