1Sa 1:1
ἐποίησεν VAI-AAI3S- ποιέω
Σαουλ N---NSM--- Σαούλ
ὡς C--------- ὡς
ἐξωλέθρευσεν VAI-AAI3S- ὀλεθρεύω ἐκ
τοὺς RA--APM--- ὁ
ἐγγαστριμύθους A1B-APM--- ἐγγαστρίμυθος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
γνώστας N1M-APM--- γνώστης
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
παγιδεύεις V1--PAI2S- παγιδεύω
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
θανατῶσαι VA--AAN--- θανατόω
αὐτήν RD--ASF--- αὐτός

1Sa 28:10
καὶ C--------- καί
ὤμοσεν VAI-AAI3S- ὄμνυμι
αὐτῇ RD--DSF--- αὐτός
Σαουλ N---NSM--- Σαούλ
λέγων V1--PAPNSM λέγω
ζῇ V3--PAS3S- ζάω
κύριος N2--NSM--- κύριος
εἰ C--------- εἰ
ἀπαντήσεταί VF--FMI3S- ἀντάω ἀπο
σοι RP--DS---- σύ
ἀδικία N1A-NSF--- ἀδικία
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λόγῳ N2--DSM--- λόγος
τούτῳ RD--DSM--- οὗτος

1Sa 28:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
τίνα RI--ASM--- τίς
ἀναγάγω VB--AAS1S- ἄγω ἀνα
σοι RP--DS---- σύ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τὸν RA--ASM--- ὁ
Σαμουηλ N---ASM--- Σαμουηλ
ἀνάγαγέ VB--AAD2S- ἄγω ἀνα
μοι RP--DS---- ἐγώ

1Sa 28:12
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
τὸν RA--ASM--- ὁ
Σαμουηλ N---ASM--- Σαμουηλ
καὶ C--------- καί
ἀνεβόησεν VAI-AAI3S- βοάω ἀνα
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
πρὸς P--------- πρός
Σαουλ N---ASM--- Σαούλ
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
παρελογίσω VAI-AMI2S- λογίζομαι παρα
με RP--AS---- ἐγώ
καὶ C--------- καί
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
Σαουλ N---NSM--- Σαούλ

1Sa 28:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
εἰπὸν VBI-AAI3P- εἶπον
τίνα RI--APN--- τίς
ἑόρακας VX--XAI2S- ὁράω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Θεοὺς N2--APM--- Θεός
ἑόρακα VX--XAI1S- ὁράω
ἀναβαίνοντας V1--PAPAPM βαίνω ἀνα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

1Sa 28:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
τί RI--ASN--- τίς
ἔγνως VZI-AAI2S- γιγνώσκω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἄνδρα N3--ASM--- ἀνήρ
ὄρθιον A1A-ASM--- ὄρθιος
ἀναβαίνοντα V1--PAPASM βαίνω ἀνα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
οὗτος RD--NSM--- οὗτος
διπλοΐδα N3D-ASF--- διπλοΐς
ἀναβεβλημένος VM--XMPNSM βάλλω ἀνα
καὶ C--------- καί
ἔγνω VZI-AAI3S- γιγνώσκω
Σαουλ N---NSM--- Σαούλ
ὅτι C--------- ὅτι
Σαμουηλ N---NSM--- Σαμουηλ
οὗτος RD--NSM--- οὗτος
καὶ C--------- καί
ἔκυψεν VAI-AAI3S- κύπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
προσεκύνησεν VAI-AAI3S- κυνέω προς
αὐτῷ RD--DSM--- αὐτός

1Sa 28:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαμουηλ N---NSM--- Σαμουηλ
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
παρηνώχλησάς VAI-AAI2S- ὀχλέω παρα ἐν
μοι RP--DS---- ἐγώ
ἀναβῆναί VZ--AAN--- βαίνω ἀνα
με RP--AS---- ἐγώ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
θλίβομαι V1--PMI1S- θλίβω
σφόδρα D--------- σφόδρα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἀλλόφυλοι A1B-NPM--- ἀλλόφυλος
πολεμοῦσιν V2--PAI3P- πολεμέω
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀφέστηκεν VXI-XAI3S- ἵστημι ἀπο
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπακήκοέν VX--XAI3S- ἀκούω ἐπι
μοι RP--DS---- ἐγώ
ἔτι D--------- ἔτι
καὶ C--------- καί
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἐνυπνίοις N2N-DPN--- ἐνύπνιον
καὶ C--------- καί
νῦν D--------- νῦν
κέκληκά VX--XAI1S- καλέω
σε RP--AS---- σύ
γνωρίσαι VA--AAN--- γνωρίζω
μοι RP--DS---- ἐγώ
τί RI--ASN--- τίς
ποιήσω VA--AAS1S- ποιέω

1Sa 28:16
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαμουηλ N---NSM--- Σαμουηλ
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ἐπερωτᾷς V3--PAI2S- ἐρωτάω ἐπι
με RP--AS---- ἐγώ
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἀφέστηκεν VXI-XAI3S- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
καὶ C--------- καί
γέγονεν VX--XAI3S- γίγνομαι
μετὰ P--------- μετά
τοῦ RA--GSN--- ὁ
πλησίον D--------- πλησίον
σου RP--GS---- σύ

1Sa 28:17
καὶ C--------- καί
πεποίηκεν VX--XAI3S- ποιέω
κύριός N2--NSM--- κύριος
σοι RP--DS---- σύ
καθὼς D--------- καθώς
ἐλάλησεν VAI-AAI3S- λαλέω
ἐν P--------- ἐν
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
διαρρήξει VF--FAI3S- ῥήγνυμι δια
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
σου RP--GS---- σύ
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
σου RP--GS---- σύ
καὶ C--------- καί
δώσει VF--FAI3S- δίδωμι
αὐτὴν RD--ASF--- αὐτός
τῷ RA--DSN--- ὁ
πλησίον D--------- πλησίον
σου RP--GS---- σύ
τῷ RA--DSM--- ὁ
Δαυιδ N---DSM--- Δαυίδ

1Sa 28:18
διότι C--------- διότι
οὐκ D--------- οὐ
ἤκουσας VAI-AAI2S- ἀκούω
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἐποίησας VAI-AAI2S- ποιέω
θυμὸν N2--ASM--- θυμός
ὀργῆς N1--GSF--- ὀργή
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
Αμαληκ N---DSF--- Αμαληκ
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
ἐποίησεν VAI-AAI3S- ποιέω
κύριός N2--NSM--- κύριος
σοι RP--DS---- σύ
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ταύτῃ RD--DSF--- οὗτος

1Sa 28:19
καὶ C--------- καί
παραδώσει VF--FAI3S- δίδωμι παρα
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
καὶ C--------- καί
αὔριον D--------- αὔριον
σὺ RP--NS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
σου RP--GS---- σύ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
πεσοῦνται VF2-FMI3P- πίπτω
καὶ C--------- καί
τὴν RA--ASF--- ὁ
παρεμβολὴν N1--ASF--- παρεμβολή
Ισραηλ N---GSM--- Ἰσραήλ
δώσει VF--FAI3S- δίδωμι
κύριος N2--NSM--- κύριος
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος

1Sa 28:20
καὶ C--------- καί
ἔσπευσεν VAI-AAI3S- σπεύδω
Σαουλ N---NSM--- Σαούλ
καὶ C--------- καί
ἔπεσεν VAI-AAI3S- πίπτω
ἑστηκὼς VXI-XAPNSM ἵστημι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἐφοβήθη VCI-API3S- φοβέω
σφόδρα D--------- σφόδρα
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
Σαμουηλ N---GSM--- Σαμουηλ
καὶ C--------- καί
ἰσχὺς N3--NSF--- ἰσχύς
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἔτι D--------- ἔτι
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἔφαγεν VBI-AAI3S- ἐσθίω
ἄρτον N2--ASM--- ἄρτος
ὅλην A1--ASF--- ὅλος
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
καὶ C--------- καί
ὅλην A1--ASF--- ὅλος
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἐκείνην RD--ASF--- ἐκεῖνος

1Sa 28:21
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
πρὸς P--------- πρός
Σαουλ N---ASM--- Σαούλ
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὅτι C--------- ὅτι
ἔσπευσεν VAI-AAI3S- σπεύδω
σφόδρα D--------- σφόδρα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
ἰδοὺ I--------- ἰδού
δὴ X--------- δή
ἤκουσεν VAI-AAI3S- ἀκούω
ἡ RA--NSF--- ὁ
δούλη N1--NSF--- δούλη
σου RP--GS---- σύ
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
σου RP--GS---- σύ
καὶ C--------- καί
ἐθέμην VEI-AMI1S- τίθημι
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤκουσα VAI-AAI1S- ἀκούω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
οὓς RR--APM--- ὅς
ἐλάλησάς VAI-AAI2S- λαλέω
μοι RP--DS---- ἐγώ

1Sa 28:22
καὶ C--------- καί
νῦν D--------- νῦν
ἄκουσον VA--AAD2S- ἀκούω
δὴ X--------- δή
φωνῆς N1--GSF--- φωνή
τῆς RA--GSF--- ὁ
δούλης N1--GSF--- δούλη
σου RP--GS---- σύ
καὶ C--------- καί
παραθήσω VF--FAI1S- τίθημι παρα
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
ψωμὸν N2--ASM--- ψωμός
ἄρτου N2--GSM--- ἄρτος
καὶ C--------- καί
φάγε VB--AAD2S- ἐσθίω
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
ἰσχύς N3--NSF--- ἰσχύς
ὅτι C--------- ὅτι
πορεύσῃ VA--AAS3S- πορεύομαι
ἐν P--------- ἐν
ὁδῷ N2--DSF--- ὁδός

1Sa 28:23
καὶ C--------- καί
οὐκ D--------- οὐ
ἐβουλήθη VCI-API3S- βούλομαι
φαγεῖν VB--AAN--- ἐσθίω
καὶ C--------- καί
παρεβιάζοντο V1I-IMI3P- βιάζομαι παρα
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
δίφρον N2--ASM--- δίφρος

1Sa 28:24
καὶ C--------- καί
τῇ RA--DSF--- ὁ
γυναικὶ N3K-DSF--- γυνή
ἦν V9--IAI3S- εἰμί
δάμαλις N3I-NSF--- δάμαλις
νομὰς N1--APF--- νομή
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
οἰκίᾳ N1A-DSF--- οἰκία
καὶ C--------- καί
ἔσπευσεν VAI-AAI3S- σπεύδω
καὶ C--------- καί
ἔθυσεν VAI-AAI3S- θύω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ἄλευρα N2N-APN--- ἄλευρον
καὶ C--------- καί
ἐφύρασεν VAI-AAI3S- φυράω
καὶ C--------- καί
ἔπεψεν VAI-AAI3S- πέσσω
ἄζυμα A1B-APN--- ἄζυμος

1Sa 28:25
καὶ C--------- καί
προσήγαγεν VBI-AAI3S- ἄγω προς
ἐνώπιον P--------- ἐνώπιον
Σαουλ N---GSM--- Σαούλ
καὶ C--------- καί
ἐνώπιον P--------- ἐνώπιον
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔφαγον VBI-AAI3P- ἐσθίω
καὶ C--------- καί
ἀνέστησαν VHI-AAI3P- ἵστημι ἀνα
καὶ C--------- καί
ἀπῆλθον VBI-AAI3P- ἔρχομαι ἀπο
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
ἐκείνην RD--ASF--- ἐκεῖνος

1Sa 29:1
καὶ C--------- καί
συναθροίζουσιν V1--PAI3P- ἀθροίζω συν
ἀλλόφυλοι A1B-NPM--- ἀλλόφυλος
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
παρεμβολὰς N1--APF--- παρεμβολή
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
Αφεκ N---AS---- Αφεκ
καὶ C--------- καί
Ισραηλ N---NSM--- Ἰσραήλ
παρενέβαλεν VBI-AAI3S- βάλλω παρα ἐν
ἐν P--------- ἐν
Αενδωρ N---DSF--- Αενδωρ
τῇ RA--DSF--- ὁ
ἐν P--------- ἐν
Ιεζραελ N---DS---- Ιεζραελ

1Sa 29:2
καὶ C--------- καί
σατράπαι N1M-NPM--- σατράπης
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
παρεπορεύοντο V1I-IMI3P- πορεύομαι παρα
εἰς P--------- εἰς
ἑκατοντάδας N3D-APF--- ἑκατοντάς
καὶ C--------- καί
χιλιάδας N3D-APF--- χιλιάς
καὶ C--------- καί
Δαυιδ N---NSM--- Δαυίδ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
αὐτοῦ RD--GSM--- αὐτός
παρεπορεύοντο V1I-IMI3P- πορεύομαι παρα
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPM--- ἔσχατος
μετὰ P--------- μετά
Αγχους N---GSM--- Αγχους

1Sa 29:3
καὶ C--------- καί
εἶπον VBI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
σατράπαι N1M-NPM--- σατράπης
τῶν RA--GPM--- ὁ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
τίνες RI--NPM--- τίς
οἱ RA--NPM--- ὁ
διαπορευόμενοι V1--PMPNPM πορεύομαι δια
οὗτοι RD--NPM--- οὗτος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αγχους N---NSM--- Αγχους
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
στρατηγοὺς N2--APM--- στρατηγός
τῶν RA--GPM--- ὁ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
οὐχ D--------- οὐ
οὗτος RD--NSM--- οὗτος
Δαυιδ N---NSM--- Δαυίδ
ὁ RA--NSM--- ὁ
δοῦλος N2--NSM--- δοῦλος
Σαουλ N---GSM--- Σαούλ
βασιλέως N3V-GSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
γέγονεν VX--XAI3S- γίγνομαι
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ
ἡμέρας N1A-APF--- ἡμέρα
τοῦτο RD--ASN--- οὗτος
δεύτερον A1A-ASN--- δεύτερος
ἔτος N3E-ASN--- ἔτος
καὶ C--------- καί
οὐχ D--------- οὐ
εὕρηκα VX--XAI1S- εὑρίσκω
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
οὐθὲν A3--ASN--- οὐδείς
ἀφ' P--------- ἀπό
ἧς RR--GSF--- ὅς
ἡμέρας N1A-GSF--- ἡμέρα
ἐνέπεσεν VAI-AAI3S- πίπτω ἐν
πρός P--------- πρός
με RP--AS---- ἐγώ
καὶ C--------- καί
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος

1Sa 29:4
καὶ C--------- καί
ἐλυπήθησαν VCI-API3P- λυπέω
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
οἱ RA--NPM--- ὁ
στρατηγοὶ N2--NPM--- στρατηγός
τῶν RA--GPM--- ὁ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
καὶ C--------- καί
λέγουσιν V1--PAI3P- λέγω
αὐτῷ RD--DSM--- αὐτός
ἀπόστρεψον VA--AAD2S- στρέφω ἀπο
τὸν RA--ASM--- ὁ
ἄνδρα N3--ASM--- ἀνήρ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
αὐτοῦ RD--GSM--- αὐτός
οὗ D--------- οὗ
κατέστησας VAI-AAI2S- ἵστημι κατα
αὐτὸν RD--ASM--- αὐτός
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
μὴ D--------- μή
ἐρχέσθω V1--PMD3S- ἔρχομαι
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
πόλεμον N2--ASM--- πόλεμος
καὶ C--------- καί
μὴ D--------- μή
γινέσθω V1--PMD3S- γίγνομαι
ἐπίβουλος N2--NSM--- ἐπίβουλος
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή
καὶ C--------- καί
ἐν P--------- ἐν
τίνι RI--DSN--- τίς
διαλλαγήσεται VD--FPI3S- ἀλλάσσω δια
οὗτος RD--NSM--- οὗτος
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
αὐτοῦ RD--GSM--- αὐτός
οὐχὶ D--------- οὐ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
κεφαλαῖς N1--DPF--- κεφαλή
τῶν RA--GPM--- ὁ
ἀνδρῶν N3--GPM--- ἀνήρ
ἐκείνων RD--GPM--- ἐκεῖνος

1Sa 29:5
οὐχ D--------- οὐ
οὗτος RD--NSM--- οὗτος
Δαυιδ N---NSM--- Δαυίδ
ᾧ RR--DSM--- ὅς
ἐξῆρχον V1I-IAI3P- ἄρχω ἐκ
ἐν P--------- ἐν
χοροῖς N2--DPM--- χορός
λέγοντες V1--PAPNPM λέγω
ἐπάταξεν VAI-AAI3S- πατάσσω
Σαουλ N---NSM--- Σαούλ
ἐν P--------- ἐν
χιλιάσιν N3D-DPF--- χιλιάς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Δαυιδ N---NSM--- Δαυίδ
ἐν P--------- ἐν
μυριάσιν N3D-DPF--- μυριάς
αὐτοῦ RD--GSM--- αὐτός

1Sa 29:6
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Αγχους N---NSM--- Αγχους
τὸν RA--ASM--- ὁ
Δαυιδ N---ASM--- Δαυίδ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ζῇ V3--PAS3S- ζάω
κύριος N2--NSM--- κύριος
ὅτι C--------- ὅτι
εὐθὴς A3H-NSM--- εὐθής
σὺ RP--NS---- σύ
καὶ C--------- καί
ἀγαθὸς A1--NSM--- ἀγαθός
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἔξοδός N2--NSF--- ἔξοδος
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
εἴσοδός N2--NSF--- εἴσοδος
σου RP--GS---- σύ
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
παρεμβολῇ N1--DSF--- παρεμβολή
καὶ C--------- καί
ὅτι C--------- ὅτι
οὐχ D--------- οὐ
